# time delay / ns, fit / counts
1.072368000000004429e+00,9.324080947957554599e+02
1.169856000000002894e+00,9.203650344461265149e+02
1.267344000000001358e+00,9.085272136055725696e+02
1.364831999999999823e+00,8.968910316710438337e+02
1.462320000000005393e+00,8.854529513694442358e+02
1.559808000000003858e+00,8.742094976434905220e+02
1.657296000000002323e+00,8.631572565571664200e+02
1.754784000000000788e+00,8.522928742204396713e+02
1.852273000000003833e+00,8.416129471183002124e+02
1.949761000000002298e+00,8.311144573749345454e+02
2.047249000000000763e+00,8.207941144835533578e+02
2.144736999999999227e+00,8.106487943591633893e+02
2.242225000000004798e+00,8.006754278635089577e+02
2.339713000000003262e+00,7.908709998384180153e+02
2.437201000000001727e+00,7.812325481561476863e+02
2.534689000000000192e+00,7.717571627864431321e+02
2.632176999999998657e+00,7.624419848800073396e+02
2.729665000000004227e+00,7.532842058680938635e+02
2.827153000000002692e+00,7.442810665779459214e+02
2.924641000000001156e+00,7.354298563637887582e+02
3.022128999999999621e+00,7.267279122531188023e+02
3.119617000000005191e+00,7.181726181080069864e+02
3.217105000000003656e+00,7.097614038011618049e+02
3.314593000000002121e+00,7.014917444064817573e+02
3.412081000000000586e+00,6.933611594038538897e+02
3.509568999999999050e+00,6.853672118979393417e+02
3.607057000000004621e+00,6.775075078507040871e+02
3.704545000000003085e+00,6.697796953274532825e+02
3.802033000000001550e+00,6.621814637561240033e+02
3.899521000000000015e+00,6.547105431996175184e+02
3.997009000000005585e+00,6.473647036409265638e+02
4.094497000000004050e+00,6.401417542808451344e+02
4.191985000000002515e+00,6.330395428480277360e+02
4.289473000000000980e+00,6.260559549211915282e+02
4.386962000000004025e+00,6.191888434141187645e+02
4.484450000000002490e+00,6.124363084822020937e+02
4.581938000000000955e+00,6.057962742720253573e+02
4.679425999999999419e+00,5.992667712202824077e+02
4.776914000000004989e+00,5.928458643994520116e+02
4.874402000000003454e+00,5.865316529084723243e+02
4.971890000000001919e+00,5.803222692741327364e+02
5.069378000000000384e+00,5.742158788629997161e+02
5.166865999999998849e+00,5.682106793036871295e+02
5.264354000000004419e+00,5.623048999192915289e+02
5.361842000000002884e+00,5.564968011698131249e+02
5.459330000000001348e+00,5.507846741043824750e+02
5.556817999999999813e+00,5.451668398231290666e+02
5.654306000000005383e+00,5.396416489485142165e+02
5.751794000000003848e+00,5.342074811059671902e+02
5.849282000000002313e+00,5.288627444136541271e+02
5.946770000000000778e+00,5.236058749812289079e+02
6.044257999999999242e+00,5.184353364173981618e+02
6.141746000000004813e+00,5.133496193461520534e+02
6.239234000000003277e+00,5.083472409315064056e+02
6.336722000000001742e+00,5.034267444106024527e+02
6.434210000000000207e+00,4.985866986350251295e+02
6.531697999999998672e+00,4.938256976201886914e+02
6.629186000000004242e+00,4.891423601026498318e+02
6.726674000000002707e+00,4.845353291052107920e+02
6.824162000000001171e+00,4.800032715096706397e+02
6.921651000000004217e+00,4.755448322777443195e+02
7.019139000000002682e+00,4.711588162120208381e+02
7.116627000000001146e+00,4.668439131742148902e+02
7.214114999999999611e+00,4.625988813582330863e+02
7.311603000000005181e+00,4.584225007908780185e+02
7.409091000000003646e+00,4.543135729477644986e+02
7.506579000000002111e+00,4.502709203759890784e+02
7.604067000000000576e+00,4.462933863234421779e+02
7.701554999999999040e+00,4.423798343746387332e+02
7.799043000000004611e+00,4.385291480929565751e+02
7.896531000000003075e+00,4.347402306691705576e+02
7.994019000000001540e+00,4.310120045761663619e+02
8.091507000000000005e+00,4.273434112297321121e+02
8.188995000000005575e+00,4.237334106553162201e+02
8.286483000000004040e+00,4.201809811606491962e+02
8.383971000000002505e+00,4.166851190141225629e+02
8.481459000000000970e+00,4.132448381288286896e+02
8.578946999999999434e+00,4.098591697521575838e+02
8.676435000000005004e+00,4.065271621608555961e+02
8.773923000000003469e+00,4.032478803614486083e+02
8.871411000000001934e+00,4.000204057959348916e+02
8.968899000000000399e+00,3.968438360526567976e+02
9.066386999999998864e+00,3.937172845822586282e+02
9.163875000000004434e+00,3.906398804186416100e+02
9.261363000000002899e+00,3.876107679048284922e+02
9.358851000000001363e+00,3.846291064236500574e+02
9.456340000000004409e+00,3.816940402628773086e+02
9.553828000000002874e+00,3.788048183023045681e+02
9.651316000000001338e+00,3.759606131310467276e+02
9.748803999999999803e+00,3.731606416916991975e+02
9.846292000000005373e+00,3.704041346895233460e+02
9.943780000000003838e+00,3.676903363503408855e+02
1.004126800000000230e+01,3.650185041826854899e+02
1.013875600000000077e+01,3.623879087441417255e+02
1.023624399999999923e+01,3.597978334117926238e+02
1.033373200000000480e+01,3.572475741567066052e+02
1.043122000000000327e+01,3.547364393223924708e+02
1.052870800000000173e+01,3.522637494071498736e+02
1.062619600000000020e+01,3.498288368502514913e+02
1.072368399999999866e+01,3.474310458218851068e+02
1.082117200000000423e+01,3.450697320167917042e+02
1.091866000000000270e+01,3.427442624515348371e+02
1.101614800000000116e+01,3.404540152653349310e+02
1.111363599999999963e+01,3.381983795244091766e+02
1.121112400000000520e+01,3.359767550297522121e+02
1.130861200000000366e+01,3.337885521283006369e+02
1.140610000000000213e+01,3.316331915274164999e+02
1.150358800000000059e+01,3.295101041126376344e+02
1.160107599999999906e+01,3.274187307686323152e+02
1.169856400000000463e+01,3.253585222033047444e+02
1.179605200000000309e+01,3.233289387749952084e+02
1.189354000000000156e+01,3.213294503227188557e+02
1.199102900000000460e+01,3.193595159425815950e+02
1.208851700000000307e+01,3.174186643467050999e+02
1.218600500000000153e+01,3.155063724697320140e+02
1.228349299999999999e+01,3.136221464348161589e+02
1.238098100000000557e+01,3.117655010407453915e+02
1.247846900000000403e+01,3.099359596093316327e+02
1.257595700000000249e+01,3.081330538354843611e+02
1.267344500000000096e+01,3.063563236399227776e+02
1.277093299999999942e+01,3.046053170244786656e+02
1.286842100000000499e+01,3.028795899299452685e+02
1.296590900000000346e+01,3.011787060964268221e+02
1.306339700000000192e+01,2.995022369261444624e+02
1.316088500000000039e+01,2.978497613486566138e+02
1.325837299999999885e+01,2.962208656884502034e+02
1.335586100000000442e+01,2.946151435348608061e+02
1.345334900000000289e+01,2.930321956142822728e+02
1.355083700000000135e+01,2.914716296646234923e+02
1.364832499999999982e+01,2.899330603119744296e+02
1.374581300000000539e+01,2.884161089494418775e+02
1.384330100000000385e+01,2.869204036181168931e+02
1.394078900000000232e+01,2.854455788901360620e+02
1.403827700000000078e+01,2.839912757537999823e+02
1.413576499999999925e+01,2.825571415007136125e+02
1.423325300000000482e+01,2.811428296149110224e+02
1.433074100000000328e+01,2.797479996639318642e+02
1.442822900000000175e+01,2.783723171918130106e+02
1.452571800000000479e+01,2.770154397911122715e+02
1.462320600000000326e+01,2.756770724791281850e+02
1.472069400000000172e+01,2.743568840918375145e+02
1.481818200000000019e+01,2.730545630464035298e+02
1.491566999999999865e+01,2.717698032290313677e+02
