# time delay / ns, fit / counts
2.003296999999999883e+00,5.921312086449162962e+03
2.015513000000000332e+00,5.896791705977711899e+03
2.027727999999999753e+00,5.872375068823679612e+03
2.039942999999999174e+00,5.848059741469245637e+03
2.052158000000000371e+00,5.823845303558588967e+03
2.064374000000000819e+00,5.799729366454116644e+03
2.076589000000000240e+00,5.775715461506967586e+03
2.088803999999999661e+00,5.751801195338181060e+03
2.101018999999999082e+00,5.727986154525361599e+03
2.113234000000000279e+00,5.704269927361484406e+03
2.125450000000000728e+00,5.680650174355047056e+03
2.137665000000000148e+00,5.657130354199828616e+03
2.149879999999999569e+00,5.633708122760513106e+03
2.162095000000000766e+00,5.610383075120842477e+03
2.174310999999999439e+00,5.587152910377291846e+03
2.186526000000000636e+00,5.564021030175342275e+03
2.198741000000000057e+00,5.540985129044257519e+03
2.210955999999999477e+00,5.518044808746538365e+03
2.223171999999999926e+00,5.495197806330146705e+03
2.235386999999999347e+00,5.472447467333253371e+03
2.247602000000000544e+00,5.449791524311937792e+03
2.259816999999999965e+00,5.427229585597309779e+03
2.272031999999999385e+00,5.404761261145583376e+03
2.284247999999999834e+00,5.382384334564837445e+03
2.296462999999999255e+00,5.360102082558976690e+03
2.308678000000000452e+00,5.337912284336615812e+03
2.320892999999999873e+00,5.315814556287429696e+03
2.333109000000000322e+00,5.293806718577040556e+03
2.345323999999999742e+00,5.271891993862838717e+03
2.357538999999999163e+00,5.250068197983554455e+03
2.369754000000000360e+00,5.228334953656190009e+03
2.381968999999999781e+00,5.206691885163179904e+03
2.394185000000000230e+00,5.185136857520122248e+03
2.406399999999999650e+00,5.163673027078404630e+03
2.418614999999999071e+00,5.142298254615758196e+03
2.430830000000000268e+00,5.121012170611760666e+03
2.443046000000000717e+00,5.099812675296817361e+03
2.455261000000000138e+00,5.078702872960911918e+03
2.467475999999999559e+00,5.057680659666474639e+03
2.479691000000000756e+00,5.036745671988016511e+03
2.491906999999999428e+00,5.015895844789907642e+03
2.504122000000000625e+00,4.995134231159428055e+03
2.516337000000000046e+00,4.974458761861726089e+03
2.528551999999999467e+00,4.953869079465715004e+03
2.540767000000000664e+00,4.933364828023365590e+03
2.552982999999999336e+00,4.912943984889099738e+03
2.565198000000000533e+00,4.892609540333094628e+03
2.577412999999999954e+00,4.872359467694890554e+03
2.589627999999999375e+00,4.852193416897529460e+03
2.601843999999999824e+00,4.832109398657285965e+03
2.614058999999999244e+00,4.812110353922319518e+03
2.626274000000000441e+00,4.792194289460247091e+03
2.638488999999999862e+00,4.772360860968344241e+03
2.650703999999999283e+00,4.752609725572464413e+03
2.662919999999999732e+00,4.732938934918288396e+03
2.675134999999999152e+00,4.713351369444127158e+03
2.687350000000000350e+00,4.693845076928245362e+03
2.699564999999999770e+00,4.674419720151928232e+03
2.711781000000000219e+00,4.655073382897347074e+03
2.723995999999999640e+00,4.635808898092366690e+03
2.736211000000000837e+00,4.616624345715532399e+03
2.748426000000000258e+00,4.597519394110274334e+03
2.760642000000000706e+00,4.578492158665188072e+03
2.772857000000000127e+00,4.559545425581340169e+03
2.785071999999999548e+00,4.540677306506443529e+03
2.797287000000000745e+00,4.521887475254318815e+03
2.809502000000000166e+00,4.503175606992211215e+03
2.821718000000000615e+00,4.484539855884495410e+03
2.833933000000000035e+00,4.465982950806302142e+03
2.846147999999999456e+00,4.447503042258087589e+03
2.858363000000000653e+00,4.429099810764938411e+03
2.870578999999999326e+00,4.410771440936768158e+03
2.882794000000000523e+00,4.392520616638160391e+03
2.895008999999999943e+00,4.374345518875545167e+03
2.907223999999999364e+00,4.356245833443482297e+03
2.919439999999999813e+00,4.338219774895232149e+03
2.931654999999999234e+00,4.320269982827267086e+03
2.943870000000000431e+00,4.302394668248799462e+03
2.956084999999999852e+00,4.284593522136952743e+03
2.968299999999999272e+00,4.266866236751046017e+03
2.980515999999999721e+00,4.249211063379812003e+03
2.992730999999999142e+00,4.231630587310167357e+03
3.004946000000000339e+00,4.214123056359710972e+03
3.017160999999999760e+00,4.196688167863698254e+03
3.029377000000000209e+00,4.179324201954402270e+03
3.041591999999999629e+00,4.162033701276573993e+03
3.053807000000000826e+00,4.144814942548608997e+03
3.066022000000000247e+00,4.127667628097968191e+03
3.078236999999999668e+00,4.110591461487206288e+03
3.090453000000000117e+00,4.093584758234786932e+03
3.102667999999999537e+00,4.076650008670681473e+03
3.114883000000000735e+00,4.059785524969712242e+03
3.127098000000000155e+00,4.042991015583934768e+03
3.139314000000000604e+00,4.026264823815937234e+03
3.151529000000000025e+00,4.009609398919758860e+03
3.163743999999999446e+00,3.993023080909504188e+03
3.175959000000000643e+00,3.976505583046065112e+03
3.188174999999999315e+00,3.960055275957886352e+03
3.200390000000000512e+00,3.943674568500586247e+03
3.212604999999999933e+00,3.927361828068365412e+03
3.224819999999999354e+00,3.911116772651640076e+03
3.237035000000000551e+00,3.894939121410939151e+03
3.249250999999999223e+00,3.878827278498943997e+03
3.261466000000000420e+00,3.862783603209195462e+03
3.273680999999999841e+00,3.846806496526672163e+03
3.285895999999999262e+00,3.830895682244120962e+03
3.298111999999999711e+00,3.815049590836392781e+03
3.310326999999999131e+00,3.799270542682447285e+03
3.322542000000000328e+00,3.783556965141681303e+03
3.334756999999999749e+00,3.767908586562658456e+03
3.346971999999999170e+00,3.752325136421072330e+03
3.359187999999999619e+00,3.736805077484669710e+03
3.371403000000000816e+00,3.721350682390736893e+03
3.383618000000000237e+00,3.705960410855673672e+03
3.395832999999999657e+00,3.690633996817248772e+03
3.408049000000000106e+00,3.675369928398581578e+03
3.420263999999999527e+00,3.660170440751690876e+03
3.432479000000000724e+00,3.645034018998670490e+03
3.444694000000000145e+00,3.629960401465773884e+03
3.456910000000000593e+00,3.614948101213274640e+03
3.469125000000000014e+00,3.599999316526209896e+03
3.481339999999999435e+00,3.585112557513333286e+03
3.493555000000000632e+00,3.570287566816981325e+03
3.505770000000000053e+00,3.555524088147330076e+03
3.517986000000000502e+00,3.540820665158358224e+03
3.530200999999999922e+00,3.526179450905505291e+03
3.542415999999999343e+00,3.511598986151958798e+03
3.554631000000000540e+00,3.497079018835174338e+03
3.566846999999999213e+00,3.482618116630361783e+03
3.579062000000000410e+00,3.468218397080086106e+03
3.591276999999999830e+00,3.453878425016442634e+03
3.603491999999999251e+00,3.439597952534451451e+03
3.615707000000000448e+00,3.425376732757742047e+03
3.627922999999999121e+00,3.411213362831529139e+03
3.640138000000000318e+00,3.397109916730054465e+03
3.652352999999999739e+00,3.383064988813914624e+03
3.664567999999999159e+00,3.369078336278761526e+03
3.676783999999999608e+00,3.355148579408729802e+03
3.688999000000000805e+00,3.341277757969581216e+03
3.701214000000000226e+00,3.327464489506768587e+03
3.713428999999999647e+00,3.313708535220798240e+03
3.725645000000000095e+00,3.300008538153077552e+03
3.737859999999999516e+00,3.286366504425122912e+03
3.750075000000000713e+00,3.272781074384822205e+03
3.762290000000000134e+00,3.259252013171490489e+03
3.774504999999999555e+00,3.245779086898922287e+03
3.786721000000000004e+00,3.232360966527872279e+03
3.798935999999999424e+00,3.218999616904015056e+03
3.811151000000000622e+00,3.205693706350009506e+03
3.823366000000000042e+00,3.192443004837415174e+03
3.835582000000000491e+00,3.179246205248385650e+03
3.847796999999999912e+00,3.166105240020095152e+03
3.860011999999999333e+00,3.153018799440117618e+03
3.872227000000000530e+00,3.139986657274135723e+03
3.884442999999999202e+00,3.127007527964137807e+03
3.896658000000000399e+00,3.114083312073338675e+03
3.908872999999999820e+00,3.101212721491941011e+03
3.921087999999999241e+00,3.088395533717172839e+03
3.933303000000000438e+00,3.075631527169478886e+03
3.945518999999999110e+00,3.062919442741131661e+03
3.957734000000000307e+00,3.050261141891361603e+03
3.969948999999999728e+00,3.037655363013159331e+03
3.982163999999999149e+00,3.025101888181737650e+03
3.994379999999999598e+00,3.012599479057305871e+03
4.006595000000000795e+00,3.000149966395870251e+03
4.018810000000000215e+00,2.987752109399582878e+03
4.031024999999999636e+00,2.975405693738144691e+03
4.043240000000000833e+00,2.963110505970560553e+03
4.055455999999999506e+00,2.950865333235817161e+03
4.067671000000000703e+00,2.938671968622210898e+03
4.079886000000000124e+00,2.926529196861243236e+03
4.092100999999999544e+00,2.914436808032451154e+03
4.104316999999999993e+00,2.902393609279954944e+03
4.116531999999999414e+00,2.890401364116550667e+03
4.128747000000000611e+00,2.878458877318581926e+03
4.140962000000000032e+00,2.866565942428052040e+03
4.153178000000000480e+00,2.854721386264251578e+03
4.165392999999999901e+00,2.842926943252292858e+03
4.177607999999999322e+00,2.831181437882745286e+03
4.189823000000000519e+00,2.819484667102962248e+03
4.202037999999999940e+00,2.807836428702810736e+03
4.214254000000000389e+00,2.796235573639709401e+03
4.226468999999999809e+00,2.784683800653068829e+03
4.238683999999999230e+00,2.773179958419500963e+03
4.250899000000000427e+00,2.761723848064155391e+03
4.263114999999999100e+00,2.750314339496964294e+03
4.275330000000000297e+00,2.738953103438031121e+03
4.287544999999999717e+00,2.727639007554098498e+03
4.299759999999999138e+00,2.716371856250593737e+03
4.311975000000000335e+00,2.705151454744505372e+03
4.324191000000000784e+00,2.693976696197305500e+03
4.336406000000000205e+00,2.682849216954128224e+03
4.348620999999999626e+00,2.671767907979405209e+03
4.360836000000000823e+00,2.660732577702911840e+03
4.373051999999999495e+00,2.649742137542504679e+03
4.385267000000000692e+00,2.638798196853155332e+03
4.397482000000000113e+00,2.627899664891924658e+03
4.409696999999999534e+00,2.617046353248379546e+03
4.421912999999999982e+00,2.606237191295632783e+03
4.434127999999999403e+00,2.595473761843685224e+03
4.446343000000000600e+00,2.584754992140492050e+03
4.458558000000000021e+00,2.574080696883298970e+03
4.470772999999999442e+00,2.563450691538207593e+03
4.482988999999999891e+00,2.552863927506420168e+03
4.495203999999999311e+00,2.542321955031708967e+03
4.507419000000000509e+00,2.531823723433843497e+03
4.519633999999999929e+00,2.521369051222663529e+03
4.531850000000000378e+00,2.510956907095139741e+03
4.544064999999999799e+00,2.500588815725056065e+03
4.556279999999999220e+00,2.490263743762284776e+03
4.568495000000000417e+00,2.479981512710189691e+03
4.580710999999999089e+00,2.469741108276238265e+03
4.592926000000000286e+00,2.459544029985976067e+03
4.605140999999999707e+00,2.449389261533534409e+03
4.617355999999999128e+00,2.439276627366433331e+03
4.629571000000000325e+00,2.429205952660594903e+03
4.641787000000000774e+00,2.419176243992498257e+03
4.654002000000000194e+00,2.409188970035036618e+03
4.666216999999999615e+00,2.399243135392776821e+03
4.678432000000000812e+00,2.389338568125218899e+03
4.690647999999999485e+00,2.379474291194541365e+03
4.702863000000000682e+00,2.369651749049090995e+03
4.715078000000000102e+00,2.359869962711660719e+03
4.727292999999999523e+00,2.350128763077768326e+03
4.739508000000000720e+00,2.340427981744581757e+03
4.751723999999999393e+00,2.330766661776779529e+03
4.763939000000000590e+00,2.321146217903261913e+03
4.776154000000000011e+00,2.311565691289224560e+03
4.788368999999999431e+00,2.302024916309500441e+03
4.800584999999999880e+00,2.292522951812619340e+03
4.812799999999999301e+00,2.283061189192706479e+03
4.825015000000000498e+00,2.273638685430136775e+03
4.837229999999999919e+00,2.264255277631597892e+03
4.849446000000000367e+00,2.254910040169132571e+03
4.861660999999999788e+00,2.245604341486971407e+03
4.873875999999999209e+00,2.236337254119818681e+03
4.886091000000000406e+00,2.227108617861149469e+03
4.898305999999999827e+00,2.217918273169171243e+03
4.910522000000000276e+00,2.208765313460672132e+03
4.922736999999999696e+00,2.199651079024216415e+03
4.934951999999999117e+00,2.190574661477057361e+03
4.947167000000000314e+00,2.181535903908908949e+03
4.959383000000000763e+00,2.172533914689902758e+03
4.971598000000000184e+00,2.163570012001651776e+03
4.983812999999999604e+00,2.154643302444429537e+03
4.996028000000000802e+00,2.145753631696057255e+03
5.008243000000000222e+00,2.136900846074671790e+03
5.020459000000000671e+00,2.128084072295638180e+03
5.032674000000000092e+00,2.119304601419054052e+03
5.044888999999999513e+00,2.110561558426845750e+03
5.057104000000000710e+00,2.101854792172003272e+03
5.069319999999999382e+00,2.093183443774001262e+03
5.081535000000000579e+00,2.084548782997967010e+03
5.093750000000000000e+00,2.075949949258528704e+03
5.105964999999999421e+00,2.067386793901720011e+03
5.118180999999999869e+00,2.058858472213535151e+03
5.130395999999999290e+00,2.050366233015382932e+03
5.142611000000000487e+00,2.041909229916528375e+03
5.154825999999999908e+00,2.033487316714934650e+03
5.167040999999999329e+00,2.025100347815183113e+03
5.179256999999999778e+00,2.016747495883212650e+03
5.191471999999999198e+00,2.008429984045999163e+03
5.203687000000000396e+00,2.000146983327251291e+03
5.215901999999999816e+00,1.991898350533031135e+03
5.228118000000000265e+00,1.983683271975465004e+03
5.240332999999999686e+00,1.975502950607063440e+03
5.252547999999999107e+00,1.967356571124813627e+03
5.264763000000000304e+00,1.959243992696638770e+03
5.276977999999999724e+00,1.951165075074807419e+03
5.289194000000000173e+00,1.943119021313031681e+03
5.301408999999999594e+00,1.935107009613138416e+03
5.313624000000000791e+00,1.927128241446928541e+03
5.325839000000000212e+00,1.919182578879941502e+03
5.338055000000000661e+00,1.911269238110857032e+03
5.350270000000000081e+00,1.903389377908039933e+03
5.362484999999999502e+00,1.895542212914353058e+03
5.374700000000000699e+00,1.887727607470446628e+03
5.386915999999999372e+00,1.879944790703159924e+03
5.399131000000000569e+00,1.872194902267926864e+03
5.411345999999999989e+00,1.864477169761430787e+03
5.423560999999999410e+00,1.856791459761910346e+03
5.435776000000000607e+00,1.849137639401199749e+03
5.447991999999999280e+00,1.841514953666810925e+03
5.460207000000000477e+00,1.833924518765829816e+03
5.472421999999999898e+00,1.826365578187095707e+03
5.484636999999999318e+00,1.818838001253993070e+03
5.496852999999999767e+00,1.811341045407335741e+03
5.509067999999999188e+00,1.803875808443302958e+03
5.521283000000000385e+00,1.796441546328754384e+03
5.533497999999999806e+00,1.789038130542480303e+03
5.545714000000000254e+00,1.781664830773192534e+03
5.557928999999999675e+00,1.774322726709832068e+03
5.570143999999999096e+00,1.767011086591468938e+03
5.582359000000000293e+00,1.759729784016741405e+03
5.594573999999999714e+00,1.752478693108757625e+03
5.606790000000000163e+00,1.745257098582343360e+03
5.619004999999999583e+00,1.738066057911898952e+03
5.631220000000000780e+00,1.730904854392434572e+03
5.643435000000000201e+00,1.723773364223293356e+03
5.655651000000000650e+00,1.716670883917338870e+03
5.667866000000000071e+00,1.709598453506805072e+03
5.680080999999999491e+00,1.702555368108160110e+03
5.692296000000000689e+00,1.695541505962732117e+03
5.704511000000000109e+00,1.688556745817056026e+03
5.716727000000000558e+00,1.681600398658204540e+03
5.728941999999999979e+00,1.674673483119805041e+03
