# wavenlength / µm,    wavenumber / cm-1,  norm. absorbance
8.886685874398224882e+00,1.125278888140868958e+03,6.628929078578948975e-02
8.879077410464663700e+00,1.126243137402343564e+03,6.829363107681274414e-02
8.871481963578039753e+00,1.127207386663818170e+03,7.357501238584518433e-02
8.863899500361306139e+00,1.128171635925292776e+03,7.702845335006713867e-02
8.856329987551433192e+00,1.129135885186767382e+03,7.842930406332015991e-02
8.848773391998914661e+00,1.130100134448241988e+03,7.852152734994888306e-02
8.841229680667288093e+00,1.131064383709716594e+03,7.153346389532089233e-02
8.833698820632648108e+00,1.132028632971191200e+03,6.008546426892280579e-02
8.826180779083172112e+00,1.132992882232666034e+03,5.654530972242355347e-02
8.818675523318646015e+00,1.133957131494140413e+03,5.926609039306640625e-02
8.811183020749979278e+00,1.134921380755615246e+03,5.873072892427444458e-02
8.803703238898750172e+00,1.135885630017089625e+03,5.558616295456886292e-02
8.796236145396713724e+00,1.136849879278564458e+03,5.482510477304458618e-02
8.788781707985362956e+00,1.137814128540038837e+03,5.701020732522010803e-02
8.781339894515433286e+00,1.138778377801513670e+03,5.641226842999458313e-02
8.773910672946470868e+00,1.139742627062988049e+03,5.029903724789619446e-02
8.766494011346345872e+00,1.140706876324462883e+03,4.446926712989807129e-02
8.759089877890815501e+00,1.141671125585937489e+03,4.263013228774070740e-02
8.751698240863060363e+00,1.142635374847412095e+03,4.345848038792610168e-02
8.744319068653226168e+00,1.143599624108886701e+03,4.479151964187622070e-02
8.736952329757983193e+00,1.144563873370361307e+03,4.397853463888168335e-02
8.729597992780073312e+00,1.145528122631835913e+03,4.069856554269790649e-02
8.722256026427860576e+00,1.146492371893310519e+03,3.762793913483619690e-02
8.714926399514896005e+00,1.147456621154785125e+03,3.661384060978889465e-02
8.707609080959468173e+00,1.148420870416259731e+03,3.619216009974479675e-02
8.700304039784166221e+00,1.149385119677734338e+03,3.429398313164710999e-02
8.693011245115446428e+00,1.150349368939208944e+03,3.305003792047500610e-02
8.685730666183188120e+00,1.151313618200683550e+03,3.390558063983917236e-02
8.678462272320272675e+00,1.152277867462158156e+03,3.334191069006919861e-02
8.671206032962146537e+00,1.153242116723632762e+03,2.993882261216640472e-02
8.663961917646387789e+00,1.154206365985107368e+03,2.715940959751605988e-02
8.656729896012292258e+00,1.155170615246581974e+03,2.770892530679702759e-02
8.649509937800440085e+00,1.156134864508056580e+03,2.833100594580173492e-02
8.642302012852272952e+00,1.157099113769531186e+03,2.545318007469177246e-02
8.635106091109681969e+00,1.158063363031005792e+03,2.228900603950023651e-02
8.627922142614581347e+00,1.159027612292480399e+03,2.134476788341999054e-02
8.620750137508501609e+00,1.159991861553955005e+03,2.125760912895202637e-02
8.613590046032165048e+00,1.160956110815429611e+03,2.112877368927001953e-02
8.606441838525084265e+00,1.161920360076904217e+03,2.006199397146701813e-02
8.599305485425146500e+00,1.162884609338378823e+03,1.835052855312824249e-02
8.592180957268208630e+00,1.163848858599853429e+03,1.756620779633522034e-02
8.585068224687688598e+00,1.164813107861328035e+03,1.830657012760639191e-02
8.577967258414165741e+00,1.165777357122802641e+03,2.013450488448143005e-02
8.570878029274981103e+00,1.166741606384277247e+03,2.173819951713085175e-02
8.563800508193828875e+00,1.167705855645751853e+03,2.245564199984073639e-02
8.556734666190369154e+00,1.168670104907226460e+03,2.388989739120006561e-02
8.549680474379824702e+00,1.169634354168701066e+03,2.642318233847618103e-02
8.542637903972591928e+00,1.170598603430175672e+03,2.758851274847984314e-02
8.535606926273850092e+00,1.171562852691650278e+03,2.858878672122955322e-02
8.528587512683163396e+00,1.172527101953124884e+03,3.374033048748970032e-02
8.521579634694106176e+00,1.173491351214599490e+03,4.212479665875434875e-02
8.514583263893864995e+00,1.174455600476074096e+03,5.023563653230667114e-02
8.507598371962860284e+00,1.175419849737548702e+03,5.902548506855964661e-02
8.500624930674366198e+00,1.176384098999023308e+03,7.018754631280899048e-02
8.493662911894125145e+00,1.177348348260497914e+03,8.331799507141113281e-02
8.486712287579972980e+00,1.178312597521972521e+03,9.853693842887878418e-02
8.479773029781462412e+00,1.179276846783447127e+03,1.146659776568412781e-01
8.472845110639482868e+00,1.180241096044921733e+03,1.322299391031265259e-01
8.465928502385899890e+00,1.181205345306396339e+03,1.578865200281143188e-01
8.459023177343171440e+00,1.182169594567870945e+03,1.985671818256378174e-01
8.452129107923983753e+00,1.183133843829345551e+03,2.601597309112548828e-01
8.445246266630885401e+00,1.184098093090820157e+03,3.490178585052490234e-01
8.438374626055921368e+00,1.185062342352294763e+03,4.712018966674804688e-01
8.431514158880267118e+00,1.186026591613769369e+03,6.285915970802307129e-01
8.424664837873864442e+00,1.186990840875243975e+03,8.026331067085266113e-01
8.417826635895071519e+00,1.187955090136718582e+03,9.460963606834411621e-01
8.410999525890289874e+00,1.188919339398193188e+03,1.000000000000000000e+00
8.404183480893621550e+00,1.189883588659667794e+03,9.328851699829101562e-01
8.397378474026499617e+00,1.190847837921142400e+03,7.732373476028442383e-01
8.390584478497352450e+00,1.191812087182617006e+03,5.873005986213684082e-01
8.383801467601236013e+00,1.192776336444091612e+03,4.275886714458465576e-01
8.377029414719489253e+00,1.193740585705566218e+03,3.105234205722808838e-01
8.370268293319393038e+00,1.194704834967040824e+03,2.280865460634231567e-01
8.363518076953813107e+00,1.195669084228515430e+03,1.693840324878692627e-01
8.356778739260860789e+00,1.196633333489990036e+03,1.307243704795837402e-01
8.350050253963548386e+00,1.197597582751464643e+03,1.080077141523361206e-01
8.343332594869451668e+00,1.198561832012939249e+03,9.162870794534683228e-02
8.336625735870359932e+00,1.199526081274413855e+03,7.664650678634643555e-02
8.329929650941950925e+00,1.200490330535888461e+03,6.506159156560897827e-02
8.323244314143440903e+00,1.201454579797363294e+03,5.716954916715621948e-02
8.316569699617264888e+00,1.202418829058837673e+03,4.988618940114974976e-02
8.309905781588723173e+00,1.203383078320312507e+03,4.171064123511314392e-02
8.303252534365675785e+00,1.204347327581786885e+03,3.603538870811462402e-02
8.296609932338181892e+00,1.205311576843261719e+03,3.371176496148109436e-02
8.289977949978199590e+00,1.206275826104736097e+03,3.097169101238250732e-02
8.283356561839237742e+00,1.207240075366210931e+03,2.909127995371818542e-02
8.276745742556048668e+00,1.208204324627685310e+03,2.971341647207736969e-02
8.270145466844279980e+00,1.209168573889160143e+03,2.913603372871875763e-02
8.263555709500179702e+00,1.210132823150634749e+03,2.769503183662891388e-02
8.256976445400260545e+00,1.211097072412109355e+03,2.842823788523674011e-02
8.250407649500976603e+00,1.212061321673583961e+03,2.871769107878208160e-02
8.243849296838416052e+00,1.213025570935058568e+03,2.649958245456218719e-02
8.237301362527979620e+00,1.213989820196533174e+03,2.487986534833908081e-02
8.230763821764067956e+00,1.214954069458007780e+03,2.549948729574680328e-02
8.224236649819767209e+00,1.215918318719482386e+03,2.584672160446643829e-02
8.217719822046534617e+00,1.216882567980956992e+03,2.327266708016395569e-02
8.211213313873892972e+00,1.217846817242431598e+03,1.923745311796665192e-02
8.204717100809119756e+00,1.218811066503906204e+03,1.759397797286510468e-02
8.198231158436938060e+00,1.219775315765380810e+03,1.940638385713100433e-02
8.191755462419216371e+00,1.220739565026855416e+03,2.336293086409568787e-02
8.185289988494654168e+00,1.221703814288330022e+03,2.820594981312751770e-02
8.178834712478490587e+00,1.222668063549804629e+03,3.291030600666999817e-02
8.172389610262195347e+00,1.223632312811279235e+03,3.679688647389411926e-02
8.165954657813170314e+00,1.224596562072753841e+03,3.935357183218002319e-02
8.159529831174451076e+00,1.225560811334228447e+03,4.005578905344009399e-02
8.153115106464408512e+00,1.226525060595703053e+03,3.939296677708625793e-02
8.146710459876455701e+00,1.227489309857177659e+03,3.887309134006500244e-02
8.140315867678749484e+00,1.228453559118652265e+03,3.841039165854454041e-02
8.133931306213904477e+00,1.229417808380126871e+03,3.725488483905792236e-02
8.127556751898689313e+00,1.230382057641601477e+03,3.718613833189010620e-02
8.121192181223749529e+00,1.231346306903076083e+03,3.858958557248115540e-02
8.114837570753307361e+00,1.232310556164550690e+03,3.849999606609344482e-02
8.108492897124884635e+00,1.233274805426025296e+03,3.521599993109703064e-02
8.102158137049006115e+00,1.234239054687499902e+03,2.909435890614986420e-02
8.095833267308920611e+00,1.235203303948974508e+03,2.241630293428897858e-02
8.089518264760318544e+00,1.236167553210449114e+03,1.848470792174339294e-02
8.083213106331042397e+00,1.237131802471923720e+03,1.687447354197502136e-02
8.076917769020814930e+00,1.238096051733398326e+03,1.525904331356287003e-02
8.070632229900954968e+00,1.239060300994872932e+03,1.433383673429489136e-02
8.064356466114096733e+00,1.240024550256347538e+03,1.340639032423496246e-02
8.058090454873914510e+00,1.240988799517822144e+03,1.058277208358049393e-02
8.051834173464850863e+00,1.241953048779296751e+03,9.287967346608638763e-03
8.045587599241835974e+00,1.242917298040771357e+03,1.104986853897571564e-02
8.039350709630021186e+00,1.243881547302245963e+03,1.083634793758392334e-02
8.033123482124498338e+00,1.244845796563720569e+03,7.069357670843601227e-03
8.026905894290036869e+00,1.245810045825195175e+03,3.372823819518089294e-03
8.020697923760810255e+00,1.246774295086669781e+03,2.234315965324640274e-03
8.014499548240129556e+00,1.247738544348144387e+03,3.405939554795622826e-03
8.008310745500175187e+00,1.248702793609618993e+03,4.693997558206319809e-03
8.002131493381734018e+00,1.249667042871093599e+03,3.844249062240123749e-03
7.995961769793930252e+00,1.250631292132568205e+03,1.348566147498786449e-03
7.989801552713966082e+00,1.251595541394042812e+03,3.041975724045187235e-04
7.983650820186857011e+00,1.252559790655517418e+03,2.554741455242037773e-03
7.977509550325175169e+00,1.253524039916992024e+03,7.429219782352447510e-03
7.971377721308783748e+00,1.254488289178466630e+03,1.331231929361820221e-02
7.965255311384583869e+00,1.255452538439941236e+03,1.733254268765449524e-02
7.959142298866253462e+00,1.256416787701415842e+03,1.830424927175045013e-02
7.953038662133994130e+00,1.257381036962890448e+03,1.783304288983345032e-02
7.946944379634274469e+00,1.258345286224365054e+03,1.750529371201992035e-02
7.940859429879576936e+00,1.259309535485839660e+03,2.070838212966918945e-02
7.934783791448146495e+00,1.260273784747314266e+03,2.541228756308555603e-02
7.928717442983736596e+00,1.261238034008788873e+03,2.232065051794052124e-02
7.922660363195361377e+00,1.262202283270263479e+03,1.345648989081382751e-02
7.916612530857044305e+00,1.263166532531738085e+03,9.193168953061103821e-03
7.910573924807571267e+00,1.264130781793212918e+03,1.053190976381301880e-02
7.904544523950249868e+00,1.265095031054687297e+03,1.189235504716634750e-02
7.898524307252647425e+00,1.266059280316162130e+03,1.031070109456777573e-02
7.892513253746368029e+00,1.267023529577636509e+03,7.487776689231395721e-03
7.886511342526787871e+00,1.267987778839111343e+03,6.385902408510446548e-03
7.880518552752833195e+00,1.268952028100585721e+03,7.916989736258983612e-03
7.874534863646717398e+00,1.269916277362060555e+03,1.100361719727516174e-02
7.868560254493724315e+00,1.270880526623534934e+03,1.293302699923515320e-02
7.862594704641945320e+00,1.271844775885009767e+03,1.079010963439941406e-02
7.856638193502067047e+00,1.272809025146484146e+03,5.632368382066488266e-03
7.850690700547105827e+00,1.273773274407958979e+03,2.190420404076576233e-03
7.844752205312199855e+00,1.274737523669433358e+03,0.000000000000000000e+00
