# wavenlength / nm,    wavenumber / cm-1,  norm. absorbance
6.999606323000000430e+02,1.428651775334994056e+01,1.009980296124411399e-03
6.989519652999999835e+02,1.430713481964080280e+01,2.258386584022489037e-03
6.979429932000000463e+02,1.432781774074553383e+01,1.598178191931130289e-03
6.969337157999999590e+02,1.434856683396518839e+01,6.102106238648206168e-04
6.960683593999999630e+02,1.436640505915229937e+01,1.444288100067819434e-03
6.950584106000000020e+02,1.438728004365508184e+01,1.503200218344100505e-03
6.940481567000000496e+02,1.440822211465430946e+01,5.431783672569559865e-03
6.930375976999999921e+02,1.442923159318806547e+01,-3.595859645636240078e-04
6.920267334000000119e+02,1.445030880652391758e+01,2.395954051703713412e-03
6.910155029000000013e+02,1.447145535524569127e+01,1.397248732890094989e-03
6.900039672999999993e+02,1.449267029453498701e+01,3.534550836556594414e-03
6.889920654000000013e+02,1.451395524300329676e+01,4.892309706894231586e-03
6.879798584000000119e+02,1.453530925055930290e+01,1.322435037101942889e-03
6.869673461999999518e+02,1.455673265303741815e+01,-1.426050817356301452e-03
6.859545288000000482e+02,1.457822578632707611e+01,4.050069345001381521e-03
6.849413452000000007e+02,1.459979028872909090e+01,6.513430831031145549e-03
6.839278563999999960e+02,1.462142520797022449e+01,4.200255362424154884e-03
6.830588989000000311e+02,1.464002594227822485e+01,2.436244972236335066e-04
6.820447997999999643e+02,1.466179348179527153e+01,2.838040827861820770e-03
6.810303955000000542e+02,1.468363242826802662e+01,1.614754828799257452e-03
6.800156250000000000e+02,1.470554444980584030e+01,1.379777136785382500e-03
6.790006104000000278e+02,1.472752726114485888e+01,-4.500368096869552452e-04
6.779852294999999458e+02,1.474958386243132935e+01,5.784100484290083215e-04
6.769695434999999861e+02,1.477171328609408896e+01,4.470381293699555829e-03
6.759534912000000304e+02,1.479391722978943235e+01,-1.111784003655025927e-03
6.749371337999999696e+02,1.481619472275656335e+01,1.914938304261380991e-03
6.740657349000000522e+02,1.483534836774270183e+01,6.738125930216646306e-04
6.730488281000000370e+02,1.485776303664289699e+01,3.390185454034264274e-04
6.720316162000000304e+02,1.488025229608237510e+01,5.271265783556304714e-04
6.710140380999999934e+02,1.490281787295442228e+01,3.106724250314459208e-03
6.699961547999999993e+02,1.492545879309574808e+01,4.537187305689156964e-03
6.689779663000000482e+02,1.494817543140957028e+01,1.009532375791193353e-03
6.679594726999999921e+02,1.497096816305094968e+01,1.804494903509459109e-03
6.669406128000000535e+02,1.499383874377847548e+01,2.260179020495949737e-03
6.660670775999999478e+02,1.501350289828527096e+01,3.640786670069418810e-03
6.650476684999999861e+02,1.503651613809093490e+01,4.476209732584408157e-03
6.640279540999999881e+02,1.505960696120639497e+01,-1.598699873843428094e-04
6.630079345999999987e+02,1.508277575295250550e+01,5.925584248597028612e-03
6.619875488000000132e+02,1.510602430231086579e+01,4.384746141776107477e-03
6.609669188999999960e+02,1.512935022019299502e+01,3.336207193409041708e-03
6.599459229000000278e+02,1.515275669263476210e+01,-3.519736804216207931e-04
6.590705566000000317e+02,1.517288232626837363e+01,3.043080932323177518e-03
6.580490111999999954e+02,1.519643648086983134e+01,5.823096167444572792e-03
6.570271606000000020e+02,1.522007094937743155e+01,3.811577143919514781e-03
6.560050049000000172e+02,1.524378613776640101e+01,8.889304562210495822e-03
6.549824829000000364e+02,1.526758388365442443e+01,6.055436687084993913e-03
6.539597168000000238e+02,1.529146175689945686e+01,5.195669974042314669e-03
6.529365844999999808e+02,1.531542302482209905e+01,2.710540709396437858e-03
6.520593871999999465e+02,1.533602643609023808e+01,5.316752063552272062e-03
6.510357665999999881e+02,1.536013920129837551e+01,4.524633203261102521e-03
6.500117797999999993e+02,1.538433657783381570e+01,3.953011943457515436e-03
6.489874878000000535e+02,1.540861755886690254e+01,5.175714519863475714e-03
6.479628906000000370e+02,1.543298257519070305e+01,5.164951846189767652e-03
6.469379883000000291e+02,1.545743205817552024e+01,5.437613621735589223e-03
6.460592650999999478e+02,1.547845614202615749e+01,3.230652335817908293e-03
