Wavelength,S1 / R1,S1/R1c,S1c / R1,S1c / R1c,S1,R1
nm,Undefined / MicroAmps, ,Undefined / MicroAmps,Undefined / MicroAmps,CPS,MicroAmps
400,18.8745038917609,15.5810339455211,15.1252384520667,12.4859893063799,206,10.9134357688789
400.5,19.4150566855379,16.0272640280433,15.6953065929014,12.9565845127251,212,10.9194106224743
401,17.3980804881829,14.3622361799728,13.4892793578258,11.1354937210639,190,10.9207972069655
401.5,16.9914546905797,14.0265637622015,13.0297421245954,10.7561425459944,185.5,10.9170845665351
402,18.6419987750396,15.3890993581583,14.797017877147,12.2150409440404,203.5,10.916482613402
402.5,16.763381364687,13.838287648923,12.7494170716787,10.5247322694477,183,10.9167049125993
403,19.4660384366543,16.0693498173865,15.6470650403911,12.9167607763472,212.5,10.9164086082741
403.5,17.4452831986838,14.4012023450626,13.4521096121026,11.1048098380236,190.5,10.9198890923294
404,19.4173055301705,16.0291204648937,15.5546683114177,12.8404866353767,212,10.9181629356901
404.5,17.9939141694143,14.8541010187198,14.0065514689555,11.5625054385004,196.5,10.9205024987096
405,19.4590773315994,16.0636033768559,15.5598420144147,12.8447575631045,212.5,10.920357787404
405.5,18.7739433898815,15.4980205533627,14.8190445775412,12.2332241380739,205,10.9191665001566
406,19.4523570925265,16.058055772865,15.5435482332506,12.83130693368,212.5,10.9243746362125
406.5,19.9026532372225,16.4297783652192,16.0224455163517,13.2266399642702,217.5,10.9282642877537
407,17.909265461834,14.784222923178,13.8755909631489,11.4543966321341,195.5,10.9162208519239
407.5,20.3733151340394,16.8183130272809,16.5115878675245,13.630430369651,222.5,10.9211185845333
408,21.4713790345983,17.724772397396,17.6813942946354,14.5961136933043,234.5,10.9216714104684
408.5,21.3376226348178,17.6143555611516,17.5310133474466,14.4719731778054,233,10.9196780632738
409,23.4079665124618,19.3234387996548,19.7372390563662,16.2932278110021,255.5,10.9152818901194
409.5,26.6986804549515,22.0399459956566,23.2503447726168,19.1933209595695,291.5,10.9181371269739
410,25.8286410396109,21.3217224205044,22.3120608289615,18.418761052699,282,10.9181150291953
410.5,28.7322787766606,23.7186955227334,25.3783670954004,20.950018154805,313.5,10.9110853110839
411,29.3626955081888,24.2391089094955,26.0183958316845,21.4783663181973,320.5,10.9152003959777
411.5,33.5630538266254,27.7065338504753,30.4574340309286,25.1428231571439,366.5,10.9196988671071
412,35.2204958923421,29.0747637778293,32.1772524848712,26.56254522585,384.5,10.9167605491968
412.5,40.7616683703386,33.6490401123367,38.017416932739,31.3836415063925,445,10.9169360435839
413,41.9855645228453,34.6593748796693,39.2654127132598,32.4138706838942,458.5,10.9200625572975
413.5,49.3660675495974,40.7520313465259,47.0268288419201,38.8209735597881,539,10.9184248589114
414,52.2618537928075,43.1425229861035,50.0243887375068,41.2954800556783,570.5,10.9161704979194
414.5,59.5383666280134,49.1493348281807,57.6414555200622,47.5834215446255,650,10.9172341148769
415,65.1129425432627,53.7511859319493,63.4433977414122,52.3729651119278,711,10.9194924248436
415.5,74.8146006439067,61.7599720203591,73.5913354323922,60.7501580991942,817,10.9203171593517
416,83.3640106001535,68.8175692693446,82.5011174415148,68.1052449786926,910,10.9159843376386
416.5,94.5096319345858,78.0183570278785,94.122765577348,77.6989961652529,1032,10.9195399986968
417,107.005581747446,88.3338503161922,107.131480733136,88.4377808025766,1168,10.9152319267398
417.5,122.095075987301,100.790332527338,122.831106992539,101.397931229976,1332.5,10.9136830741801
418,139.589275347306,115.231915503033,141.015869452741,116.409578837166,1524,10.9177520103916
418.5,161.866541128499,133.621953002333,164.160107902802,135.515308291122,1767,10.9164203819559
419,191.380255311758,157.985728876119,194.813115492809,160.819578778502,2089,10.9154315055999
419.5,215.505547821648,177.901325264658,219.771646514164,181.423019340657,2352.5,10.9161677940619
420,252.0242808579,208.047792814125,257.591161172392,212.643291146064,2750,10.9116477958326
420.5,287.005758712656,236.92524554322,293.475863854434,242.266362238168,3133,10.916141390253
421,339.63889843826,280.37426764345,347.541427877379,286.897860536408,3707,10.9145242790253
421.5,391.977557246165,323.580193702518,401.084770157055,331.098261161532,4280,10.9188944969792
422,450.485546941632,371.878945222404,460.787684904904,380.383431604547,4918.5,10.9181783531708
422.5,521.566825591785,430.557034028888,533.222682018669,440.179024397105,5693,10.9150798149214
423,595.439455041602,491.539402291555,608.238859997141,502.105399906029,6501,10.9180066338081
423.5,690.630179438405,570.120005873552,704.858661183751,581.865716295336,7539,10.9159126304843
424,783.145422252943,646.491980842424,798.336878430585,659.032633340795,8548.5,10.9155228843853
424.5,908.752440323531,750.181445931243,925.307673143134,763.847905511716,9918.5,10.9143058769228
425,1038.25284792491,857.08493109658,1055.73477888193,871.516386420473,11337.5,10.9197094628104
425.5,1177.19325623733,971.78120235939,1195.8713629189,987.200109044966,12852,10.9172266716395
426,1343.33978752536,1108.93631694014,1363.28961678145,1125.40503943632,14664,10.9160060112228
426.5,1517.29459972321,1252.53722159886,1538.13509683204,1269.74119658842,16566,10.9181188042198
427,1728.23546353083,1426.67036853253,1749.99927887307,1444.6365491313,18870,10.9185393395037
427.5,1926.5584870154,1590.38740071584,1948.41513674721,1608.43021674744,21038,10.9198295433784
428,2145.43176069231,1771.06880704494,2167.02068133545,1788.89061085588,23432,10.9217171776809
428.5,2395.85340506039,1977.79361231494,2416.83387767434,1995.11313805536,26153.5,10.91599130175
429,2660.18730834129,2196.003083864,2679.91471489523,2212.28819487601,29043.5,10.9177811882485
429.5,2941.02273504102,2427.83467751046,2958.80607799441,2442.51495052906,32126.5,10.9235314660352
430,3222.84679189838,2660.48239221282,3237.81562358959,2672.83926665271,35190,10.9188781334536
430.5,3457.96233339374,2854.57190334207,3471.98747393798,2866.14975419121,37762.5,10.920429598318
431,3759.6197735107,3103.59221356241,3772.69330395535,3114.38450367048,41058,10.9207535302071
431.5,4066.53738021954,3356.95482780818,4078.25893317022,3366.6310511127,44388.5,10.9153430503985
432,4352.55064977185,3593.06076666198,4362.42636619131,3601.21323910048,47525.5,10.9189498650219
432.5,4664.13009061724,3850.27175733908,4671.82854681968,3856.62688635896,50911,10.9154029808193
433,4914.25668980938,4056.75300076883,4919.22458331568,4060.85403133383,53667,10.9207344689276
433.5,5190.84031783432,4285.07470510317,5192.76018318904,4286.65956727673,56660,10.9154442985688
434,5375.05492232775,4437.14513950149,5373.48728313323,4435.85104246751,58681.5,10.9173911430773
434.5,5642.87200041402,4658.22999602447,5637.55356285844,4653.83958891412,61594,10.9152953392163
