# wavenlength / nm,  wavenumber / cm-1,  norm. intensity for wavelength, norm. intensity for wavenumber
3.510000000000000000e+02,2.849002849002848947e+01,2.592465993686846112e-09,3.193944028882131055e-04
3.520000000000000000e+02,2.840909090909091006e+01,2.691918123065630866e-09,3.335394231203239268e-04
3.530000000000000000e+02,2.832861189801699808e+01,2.057060962128503286e-09,2.563283094298706723e-04
3.540000000000000000e+02,2.824858757062147063e+01,2.462387466524597258e-09,3.085765477549964387e-04
3.550000000000000000e+02,2.816901408450704380e+01,2.514104455773950637e-09,3.168400140389121046e-04
3.560000000000000000e+02,2.808988764044943665e+01,2.388667259961079889e-09,3.027301338584274045e-04
3.570000000000000000e+02,2.801120448179271705e+01,2.244712451614985930e-09,2.860863572458783449e-04
3.580000000000000000e+02,2.793296089385474801e+01,2.494871826466381382e-09,3.197527527672372949e-04
3.590000000000000000e+02,2.785515320334261702e+01,2.535065426037867861e-09,3.267217671731864463e-04
3.600000000000000000e+02,2.777777777777777857e+01,2.902055246972253786e-09,3.761063600076040977e-04
3.610000000000000000e+02,2.770083102493074634e+01,3.045007098813781146e-09,3.968283701245107955e-04
3.620000000000000000e+02,2.762430939226519300e+01,3.899077624544878826e-09,5.109507282308591112e-04
3.630000000000000000e+02,2.754820936639118401e+01,4.548043781012579734e-09,5.992911809802465824e-04
3.640000000000000000e+02,2.747252747252747085e+01,4.875795176189541730e-09,6.460233576644095008e-04
3.650000000000000000e+02,2.739726027397260211e+01,5.779683273690602715e-09,7.699983041374305545e-04
3.660000000000000000e+02,2.732240437158469959e+01,7.459450687818169578e-09,9.992381763373706528e-04
3.670000000000000000e+02,2.724795640326975388e+01,8.266359082879389260e-09,1.113387638513941994e-03
3.680000000000000000e+02,2.717391304347826164e+01,9.405447477985505394e-09,1.273723319258709139e-03
3.690000000000000000e+02,2.710027100271002709e+01,9.784765576401439739e-09,1.332303465648396537e-03
3.700000000000000000e+02,2.702702702702702808e+01,1.122748798741964524e-08,1.537043105477749454e-03
3.710000000000000000e+02,2.695417789757412308e+01,1.282766590643102171e-08,1.765612763027072252e-03
3.720000000000000000e+02,2.688172043010752787e+01,1.341955657812743349e-08,1.857051917507586804e-03
3.730000000000000000e+02,2.680965147453083119e+01,1.520402942068797684e-08,2.115321409270897422e-03
3.740000000000000000e+02,2.673796791443850296e+01,1.594365565923112780e-08,2.230134778990613270e-03
3.750000000000000000e+02,2.666666666666666785e+01,1.875883109506169553e-08,2.637960622743051094e-03
3.760000000000000000e+02,2.659574468085106247e+01,2.030154843609264336e-08,2.870151711701033649e-03
3.770000000000000000e+02,2.652519893899204106e+01,2.255099014340873097e-08,3.205149678092539603e-03
3.780000000000000000e+02,2.645502645502645578e+01,2.556799767368128870e-08,3.653257779606277136e-03
3.790000000000000000e+02,2.638522427440633322e+01,3.129926609529682475e-08,4.495857881194531211e-03
3.800000000000000000e+02,2.631578947368420884e+01,4.316434802948431726e-08,6.232931855457535253e-03
3.810000000000000000e+02,2.624671916010498762e+01,6.381821792784406186e-08,9.263916332623772787e-03
3.820000000000000000e+02,2.617801047120418900e+01,9.578736430449823930e-08,1.397767534876960191e-02
3.830000000000000000e+02,2.610966057441253341e+01,1.401660353892222078e-07,2.056081556520961834e-02
3.840000000000000000e+02,2.604166666666666785e+01,1.826832942853808085e-07,2.693774784214511206e-02
3.850000000000000000e+02,2.597402597402597380e+01,2.060158911815193574e-07,3.053670547038070740e-02
3.860000000000000000e+02,2.590673575129533646e+01,2.043947057354204350e-07,3.045399357575470298e-02
3.870000000000000000e+02,2.583979328165374767e+01,1.871313552048469250e-07,2.802647593767471773e-02
3.880000000000000000e+02,2.577319587628866060e+01,1.605282665135018446e-07,2.416656735400862094e-02
3.890000000000000000e+02,2.570694087403598971e+01,1.391400314440451580e-07,2.105480869814435607e-02
3.900000000000000000e+02,2.564102564102564230e+01,1.225100514535090661e-07,1.863377882607872987e-02
3.910000000000000000e+02,2.557544757033248217e+01,1.120282335186727113e-07,1.712698836856820298e-02
3.920000000000000000e+02,2.551020408163265429e+01,1.056072481257011984e-07,1.622803217598774855e-02
3.930000000000000000e+02,2.544529262086513910e+01,1.004176524981775851e-07,1.550940601069102955e-02
3.940000000000000000e+02,2.538071065989847597e+01,9.489537904773663494e-08,1.473117906185444394e-02
3.950000000000000000e+02,2.531645569620253156e+01,9.049688270160853573e-08,1.411977612351847204e-02
3.960000000000000000e+02,2.525252525252525260e+01,8.493906290597564437e-08,1.331980408866347693e-02
3.970000000000000000e+02,2.518891687657430722e+01,8.056961489323003374e-08,1.269849643370709290e-02
3.980000000000000000e+02,2.512562814070351891e+01,7.874662625074527430e-08,1.247378058462305511e-02
3.990000000000000000e+02,2.506265664160401130e+01,8.038891723274957547e-08,1.279799601237096435e-02
4.000000000000000000e+02,2.500000000000000000e+01,8.313504960889011261e-08,1.330160793742241748e-02
4.010000000000000000e+02,2.493765586034912829e+01,9.397909838009913520e-08,1.511193299861832151e-02
4.020000000000000000e+02,2.487562189054726502e+01,1.090896349189680030e-07,1.762932136144490514e-02
4.030000000000000000e+02,2.481389578163771858e+01,1.228207052903491039e-07,1.994718792550030650e-02
4.040000000000000000e+02,2.475247524752475314e+01,1.388453152642767426e-07,2.266177697617419162e-02
4.050000000000000000e+02,2.469135802469135754e+01,1.488372575172173796e-07,2.441303116426158173e-02
4.060000000000000000e+02,2.463054187192118150e+01,1.501139696377478714e-07,2.474418629920780918e-02
4.070000000000000000e+02,2.457002457002457163e+01,1.462522415705651841e-07,2.422653756392255039e-02
4.079999999999999432e+02,2.450980392156862919e+01,1.442800394247337408e-07,2.401743248279886861e-02
4.090000000000000000e+02,2.444987775061124680e+01,1.385611545470860822e-07,2.317864849379110484e-02
4.100000000000000000e+02,2.439024390243902474e+01,1.316610384829753368e-07,2.213222056898815626e-02
4.110000000000000000e+02,2.433090024330900292e+01,1.256673100491313743e-07,2.122784768080931972e-02
4.120000000000000000e+02,2.427184466019417641e+01,1.204743471836274641e-07,2.044979758833765857e-02
4.130000000000000000e+02,2.421307506053268810e+01,1.150115969369567589e-07,1.961741307793977637e-02
4.140000000000000000e+02,2.415458937198067702e+01,1.114670248001116986e-07,1.910500218263994424e-02
4.150000000000000000e+02,2.409638554216867590e+01,1.078131982227966420e-07,1.856812806392115281e-02
4.160000000000000000e+02,2.403846153846154010e+01,1.082970638931765597e-07,1.874145668909756382e-02
4.170000000000000000e+02,2.398081534772182266e+01,1.056560829239187065e-07,1.837243060355729998e-02
