# wavenlength / nm,    wavenumber / 10^3 cm-1,  extinction coefficient / M-1 s-1
7.990000000000000000e+02,1.251564455569461920e+01,1.950993028901734050e+01
7.980000000000000000e+02,1.253132832080200387e+01,1.845277687861271332e+01
7.970000000000000000e+02,1.254705144291091479e+01,1.899363483815028530e+01
7.960000000000000000e+02,1.256281407035175945e+01,1.833765177071290964e+01
7.950000000000000000e+02,1.257861635220125684e+01,1.810174184200385028e+01
7.940000000000000000e+02,1.259445843828715361e+01,1.860244167244701075e+01
7.930000000000000000e+02,1.261034047919293855e+01,1.939516946050095925e+01
7.920000000000000000e+02,1.262626262626262807e+01,1.854767129287090199e+01
7.910000000000000000e+02,1.264222503160556421e+01,1.841642120423891882e+01
7.900000000000000000e+02,1.265822784810126578e+01,1.849565899036608840e+01
7.890000000000000000e+02,1.267427122940430806e+01,1.946444262042388829e+01
7.880000000000000000e+02,1.269035532994923798e+01,1.940262362235067073e+01
7.870000000000000000e+02,1.270648030495552838e+01,1.867618842389209988e+01
7.860000000000000000e+02,1.272264631043257133e+01,1.908629515414258293e+01
7.850000000000000000e+02,1.273885350318471232e+01,1.879013457418111699e+01
7.840000000000000000e+02,1.275510204081632537e+01,1.880497831406550802e+01
7.830000000000000000e+02,1.277139208173690932e+01,1.866302968015414265e+01
7.820000000000000000e+02,1.278772378516624109e+01,1.897873726589595478e+01
7.810000000000000000e+02,1.280409731113956440e+01,1.944024439306358332e+01
7.800000000000000000e+02,1.282051282051282115e+01,1.927419980732177152e+01
7.790000000000000000e+02,1.283697047496790589e+01,1.960923368015414070e+01
7.780000000000000000e+02,1.285347043701799308e+01,1.960157493256261674e+01
7.770000000000000000e+02,1.287001287001286975e+01,1.950303778420038725e+01
7.760000000000000000e+02,1.288659793814433030e+01,1.947781849710982627e+01
7.750000000000000000e+02,1.290322580645161210e+01,1.929323718689787981e+01
7.740000000000000000e+02,1.291989664082687383e+01,1.961745408477841934e+01
7.730000000000000000e+02,1.293661060802070040e+01,1.985231065510597048e+01
7.720000000000000000e+02,1.295336787564766823e+01,2.006766689788053881e+01
7.710000000000000000e+02,1.297016861219195860e+01,2.020934456647398747e+01
7.700000000000000000e+02,1.298701298701298690e+01,2.007425793834296712e+01
7.690000000000000000e+02,1.300390117035110649e+01,2.020694179190751072e+01
7.680000000000000000e+02,1.302083333333333215e+01,2.060808880539498844e+01
7.670000000000000000e+02,1.303780964797913988e+01,1.923750317919074959e+01
7.660000000000000000e+02,1.305483028720626670e+01,1.944683003853564074e+01
7.650000000000000000e+02,1.307189542483660105e+01,2.012902472061656667e+01
7.640000000000000000e+02,1.308900523560209450e+01,1.959728618497109665e+01
7.630000000000000000e+02,1.310615989515072144e+01,1.989409098265895892e+01
7.620000000000000000e+02,1.312335958005249381e+01,2.006092333333333144e+01
7.610000000000000000e+02,1.314060446780551850e+01,2.034373674373795637e+01
7.600000000000000000e+02,1.315789473684210442e+01,2.003374630057803074e+01
7.590000000000000000e+02,1.317523056653491409e+01,2.025982799614643426e+01
7.580000000000000000e+02,1.319261213720316661e+01,1.998465537572254291e+01
7.570000000000000000e+02,1.321003963011889049e+01,2.024276092485548872e+01
7.560000000000000000e+02,1.322751322751322611e+01,2.020387685934489141e+01
