# wavenlength / nm,  wavenumber / cm-1,  norm. intensity for wavelength, norm. intensity for wavenumber
4.000000000000000000e+02,2.500000000000000000e+01,8.426294393259020661e-09,1.348207102921443424e-03
4.005000000000000000e+02,2.496878901373283455e+01,8.723049261490304420e-09,1.399179282305360256e-03
4.010000000000000000e+02,2.493765586034912829e+01,7.864517069704527804e-09,1.264622209325557724e-03
4.015000000000000000e+02,2.490660024906600256e+01,7.724218850896989356e-09,1.245161458257009216e-03
4.020000000000000000e+02,2.487562189054726502e+01,8.508463776474797856e-09,1.375001780133433158e-03
4.025000000000000000e+02,2.484472049689441064e+01,7.662641045211338363e-09,1.241395740830769515e-03
4.030000000000000000e+02,2.481389578163771858e+01,8.938638110722185043e-09,1.451715276924279421e-03
4.035000000000000000e+02,2.478314745972738464e+01,8.083912383859714393e-09,1.316159964019063700e-03
4.040000000000000000e+02,2.475247524752475314e+01,9.051218661135193229e-09,1.477303704995841776e-03
4.045000000000000000e+02,2.472187886279357372e+01,8.397875761430510528e-09,1.374062531554200509e-03
4.050000000000000000e+02,2.469135802469135754e+01,9.109998537943965540e-09,1.494267510186258986e-03
4.055000000000000000e+02,2.466091245376079044e+01,8.841915325004081893e-09,1.453878347369252314e-03
4.060000000000000000e+02,2.463054187192118150e+01,9.208570126998392895e-09,1.517903865453907025e-03
4.065000000000000000e+02,2.460024600246002535e+01,9.458346864961482035e-09,1.562918517246681413e-03
4.070000000000000000e+02,2.457002457002457163e+01,8.554710790130744298e-09,1.417079287674367525e-03
4.075000000000000000e+02,2.453987730061349737e+01,9.799835149665507648e-09,1.627323875571642930e-03
4.079999999999999432e+02,2.450980392156862919e+01,1.039105664707939820e-08,1.729736853699424251e-03
4.085000000000000000e+02,2.447980416156670813e+01,1.037563216563797929e-08,1.731405084652382423e-03
4.090000000000000000e+02,2.444987775061124680e+01,1.143539199394935121e-08,1.912923808139841472e-03
4.095000000000000000e+02,2.442002442002441853e+01,1.310154460268226470e-08,2.197001289809939577e-03
4.100000000000000000e+02,2.439024390243902474e+01,1.272596457680360030e-08,2.139234645360685305e-03
4.105000000000000568e+02,2.436053593179049770e+01,1.420475192329501819e-08,2.393646297782425162e-03
4.110000000000000000e+02,2.433090024330900292e+01,1.456743198429087344e-08,2.460745178218398665e-03
4.115000000000000568e+02,2.430133657351154142e+01,1.671270124311095570e-08,2.829999305073775846e-03
4.120000000000000000e+02,2.427184466019417641e+01,1.760370385969649807e-08,2.988123107960322187e-03
4.125000000000000000e+02,2.424242424242424221e+01,2.045139133265407265e-08,3.479932056446919438e-03
4.130000000000000000e+02,2.421307506053268810e+01,2.113604270431654625e-08,3.605153668032569196e-03
4.135000000000000000e+02,2.418379685610640806e+01,2.491674682171004941e-08,4.260321434256333223e-03
4.140000000000000000e+02,2.415458937198067702e+01,2.648620395366100649e-08,4.539629412841681734e-03
4.145000000000000000e+02,2.412545235223160489e+01,3.036356412886334396e-08,5.216771543871043075e-03
4.150000000000000000e+02,2.409638554216867590e+01,3.340815978273824783e-08,5.753720318582095095e-03
4.155000000000000000e+02,2.406738868832731626e+01,3.860707599242057775e-08,6.665135251100486741e-03
4.160000000000000000e+02,2.403846153846154010e+01,4.320300998990788336e-08,7.476540096813498459e-03
4.165000000000000000e+02,2.400960384153661309e+01,4.908041678012465043e-08,8.514090329785978239e-03
4.170000000000000000e+02,2.398081534772182266e+01,5.573533076450258496e-08,9.691760931308589927e-03
4.175000000000000000e+02,2.395209580838323404e+01,6.387179345988902922e-08,1.113325279876778255e-02
4.180000000000000000e+02,2.392344497607655640e+01,7.329067303629586070e-08,1.280563955559375737e-02
4.185000000000000000e+02,2.389486260454002320e+01,8.520963605911660963e-08,1.492380738107481654e-02
4.190000000000000000e+02,2.386634844868735073e+01,1.011570251191837116e-07,1.775922848694901079e-02
4.195000000000000000e+02,2.383790226460071437e+01,1.146231696630975302e-07,2.017141405310431818e-02
4.200000000000000000e+02,2.380952380952381020e+01,1.347567460695908757e-07,2.377109000667582822e-02
