# wavelength / µm, wavenumber / cm-1, EADS / mOD
4.819569015462938033e+00,2.074874323392059978e+03,4.686552638627853873e-01
4.812568477554668434e+00,2.077892511377030132e+03,7.041191467694868367e-01
4.805567939646407716e+00,2.080919492886369881e+03,7.619662308695966946e-01
4.798567401738158544e+00,2.083955306406190175e+03,9.779644215191555245e-01
4.791566863829892498e+00,2.086999990647530012e+03,9.524674992597950141e-01
4.784566325921623786e+00,2.090053584547969876e+03,7.317906735609572833e-01
4.777565788013367509e+00,2.093116127273310212e+03,5.388808993392801838e-01
4.770565250105105903e+00,2.096187658219259902e+03,3.985018317136090893e-01
4.763564712196848738e+00,2.099268217013100184e+03,2.245913182444147782e-01
4.756564174288581803e+00,2.102357843515409968e+03,2.424672784947674020e-01
4.749563636380328191e+00,2.105456577821760220e+03,2.135667384756514964e-01
4.742563098472069250e+00,2.108564460264480203e+03,1.737513532908831204e-01
4.735562560563815637e+00,2.111681531414380061e+03,1.159968175996652223e-01
4.728562022655543373e+00,2.114807832082539790e+03,1.439340115016028987e-01
4.721561484747273774e+00,2.117943403322060021e+03,1.471835404209245746e-01
4.714560946839015720e+00,2.121088286429880100e+03,1.515048614416346084e-01
4.707560408930772766e+00,2.124242522948589794e+03,2.223893782788062823e-01
4.700559871022498726e+00,2.127406154668280124e+03,1.612979333221261913e-01
4.693559333114243337e+00,2.130579223628320051e+03,2.005143902182854043e-01
4.686558795205978178e+00,2.133761772119300076e+03,2.609877605974377790e-01
4.679558257297728119e+00,2.136953842684849860e+03,3.445742168341046630e-01
4.672557719389450526e+00,2.140155478123590001e+03,5.216891969464111378e-01
4.665557181481195137e+00,2.143366721490970122e+03,8.319860404361874018e-01
4.658556643572930867e+00,2.146587616101280219e+03,1.064654106446694559e+00
4.651556105664671925e+00,2.149818205529540137e+03,7.067779970336521833e-01
4.644555567756415648e+00,2.153058533613489999e+03,-1.841716842781999930e-01
4.637555029848161148e+00,2.156308644455570175e+03,-7.075510913370116617e-01
4.630554491939902206e+00,2.159568582424919896e+03,-6.442064289327155135e-01
4.623553954031627278e+00,2.162838392159399973e+03,-7.186858276308182303e-01
4.616553416123378994e+00,2.166118118567600050e+03,-1.094561131532389764e+00
4.609552878215119165e+00,2.169407806830959998e+03,-1.811876529279092596e+00
4.602552340306862000e+00,2.172707502405779906e+03,-3.076160516000425726e+00
4.595551802398581742e+00,2.176017251025360110e+03,-5.715302228321469613e+00
4.588551264490339676e+00,2.179337098702049843e+03,-9.632261497438792119e+00
4.581550726582061195e+00,2.182667091729490039e+03,-8.336431534450573722e+00
4.574550188673812023e+00,2.186007276684630142e+03,-3.501155732095763362e+00
4.567549650765546865e+00,2.189357700430020031e+03,-1.273614188765396449e+00
4.560549112857287035e+00,2.192718410115920051e+03,-8.059988476786184020e-01
4.553548574949031646e+00,2.196089453182550187e+03,-3.404553110417028461e-01
4.546548037040771817e+00,2.199470877362320152e+03,-1.280496810690644471e-01
4.539547499132508435e+00,2.202862730682069923e+03,-7.890184067491241501e-03
4.532546961224247717e+00,2.206265061465349845e+03,3.906681079183235011e-02
4.525546423315983446e+00,2.209677918334719834e+03,3.094802172615054858e-02
4.518545885407715623e+00,2.213101350214059948e+03,-1.362063991547982252e-02
4.511545347499461123e+00,2.216535406330900059e+03,3.255087930794350187e-02
4.504544809591197740e+00,2.219980136218810003e+03,5.493124609841465444e-02
4.497544271682941464e+00,2.223435589719740165e+03,3.349183974659154794e-02
4.490543733774681634e+00,2.226901816986459835e+03,4.246642131328880188e-02
4.483543195866425357e+00,2.230378868484960094e+03,6.825586881183180743e-02
4.476542657958165528e+00,2.233866794996919907e+03,1.081420118294798699e-01
4.469542120049895040e+00,2.237365647622169945e+03,8.361692811625311139e-02
4.462541582141645868e+00,2.240875477781170048e+03,8.231852035787334820e-02
4.455541044233385151e+00,2.244396337217579912e+03,9.411767741561105627e-02
4.448540506325114663e+00,2.247928278000750197e+03,8.863853929517613583e-02
4.441539968416854833e+00,2.251471352528300031e+03,8.999018625896391954e-02
4.434539430508599445e+00,2.255025613528729991e+03,1.013077388413948648e-01
4.427538892600329845e+00,2.258591114064030080e+03,1.130987830349261397e-01
4.420538354692073568e+00,2.262167907532289973e+03,1.322160385874763810e-01
4.413537816783819956e+00,2.265756047670410226e+03,1.478759900825338258e-01
4.406537278875544139e+00,2.269355588556779821e+03,1.285295754495891229e-01
4.399536740967285198e+00,2.272966584613950090e+03,1.062126357120470876e-01
4.392536203059036914e+00,2.276589090611440042e+03,7.784657314894459501e-02
4.385535665150764650e+00,2.280223161668489865e+03,1.022555785774239695e-01
4.378535127242504821e+00,2.283868853256809871e+03,1.246917764774496395e-01
