# wavelength / µm, wavenumber / cm-1, EADS / mOD
4.819569015462938033e+00,2.074874323392059978e+03,-7.943467374259080560e-02
4.812568477554668434e+00,2.077892511377030132e+03,-7.290874399109392723e-02
4.805567939646407716e+00,2.080919492886369881e+03,-1.034874356709297866e-01
4.798567401738158544e+00,2.083955306406190175e+03,-8.690455594519826132e-02
4.791566863829892498e+00,2.086999990647530012e+03,-7.975343968464054800e-02
4.784566325921623786e+00,2.090053584547969876e+03,-3.750084498028902896e-02
4.777565788013367509e+00,2.093116127273310212e+03,3.654783597683777113e-02
4.770565250105105903e+00,2.096187658219259902e+03,-2.297750426341017057e-03
4.763564712196848738e+00,2.099268217013100184e+03,5.751362285706418387e-02
4.756564174288581803e+00,2.102357843515409968e+03,7.547933378284538142e-02
4.749563636380328191e+00,2.105456577821760220e+03,8.679531444334058488e-02
4.742563098472069250e+00,2.108564460264480203e+03,1.103875953254863373e-01
4.735562560563815637e+00,2.111681531414380061e+03,1.076453017963613368e-01
4.728562022655543373e+00,2.114807832082539790e+03,8.230240574641693729e-02
4.721561484747273774e+00,2.117943403322060021e+03,1.069750637851939884e-01
4.714560946839015720e+00,2.121088286429880100e+03,1.404882240884266498e-01
4.707560408930772766e+00,2.124242522948589794e+03,2.103521865979393057e-01
4.700559871022498726e+00,2.127406154668280124e+03,2.905033141563856391e-01
4.693559333114243337e+00,2.130579223628320051e+03,3.773082443896069171e-01
4.686558795205978178e+00,2.133761772119300076e+03,4.574936494102547213e-01
4.679558257297728119e+00,2.136953842684849860e+03,4.997166748699645722e-01
4.672557719389450526e+00,2.140155478123590001e+03,6.087575549898005534e-01
4.665557181481195137e+00,2.143366721490970122e+03,6.651123729327543810e-01
4.658556643572930867e+00,2.146587616101280219e+03,5.588691389620442651e-01
4.651556105664671925e+00,2.149818205529540137e+03,1.436811586184167655e-01
4.644555567756415648e+00,2.153058533613489999e+03,-2.049161590954896583e-01
4.637555029848161148e+00,2.156308644455570175e+03,2.413196267942479545e-01
4.630554491939902206e+00,2.159568582424919896e+03,1.337132776072023965e+00
4.623553954031627278e+00,2.162838392159399973e+03,2.482050891112786317e+00
4.616553416123378994e+00,2.166118118567600050e+03,3.640883896774846029e+00
4.609552878215119165e+00,2.169407806830959998e+03,4.556319924634362195e+00
4.602552340306862000e+00,2.172707502405779906e+03,3.790364937296563763e+00
4.595551802398581742e+00,2.176017251025360110e+03,-8.773056465953296135e-01
4.588551264490339676e+00,2.179337098702049843e+03,-7.326732279001052284e+00
4.581550726582061195e+00,2.182667091729490039e+03,-6.560443827735518596e+00
4.574550188673812023e+00,2.186007276684630142e+03,-2.232077853393970468e+00
4.567549650765546865e+00,2.189357700430020031e+03,-5.297428471012466389e-01
4.560549112857287035e+00,2.192718410115920051e+03,-3.222058112633780502e-01
4.553548574949031646e+00,2.196089453182550187e+03,-1.141216103595315973e-01
4.546548037040771817e+00,2.199470877362320152e+03,-2.128282576539556811e-02
4.539547499132508435e+00,2.202862730682069923e+03,9.536364222913649644e-03
4.532546961224247717e+00,2.206265061465349845e+03,3.027241428251414498e-02
4.525546423315983446e+00,2.209677918334719834e+03,2.405212244948316466e-02
4.518545885407715623e+00,2.213101350214059948e+03,-4.911689587779590090e-03
4.511545347499461123e+00,2.216535406330900059e+03,-6.966418156429695849e-03
4.504544809591197740e+00,2.219980136218810003e+03,1.288815364628081647e-02
4.497544271682941464e+00,2.223435589719740165e+03,1.431033690613923819e-02
4.490543733774681634e+00,2.226901816986459835e+03,1.511596997389884345e-02
4.483543195866425357e+00,2.230378868484960094e+03,2.805446088533886106e-02
4.476542657958165528e+00,2.233866794996919907e+03,2.364569893895602376e-02
4.469542120049895040e+00,2.237365647622169945e+03,3.331673012487253865e-02
4.462541582141645868e+00,2.240875477781170048e+03,4.276187819050823041e-02
4.455541044233385151e+00,2.244396337217579912e+03,2.986220453704259772e-02
4.448540506325114663e+00,2.247928278000750197e+03,4.451306787819139105e-02
4.441539968416854833e+00,2.251471352528300031e+03,4.703466777609830590e-02
4.434539430508599445e+00,2.255025613528729991e+03,3.945970884580116134e-02
4.427538892600329845e+00,2.258591114064030080e+03,3.132532157425552827e-02
4.420538354692073568e+00,2.262167907532289973e+03,4.911913633412816338e-02
4.413537816783819956e+00,2.265756047670410226e+03,5.008551318429107363e-02
4.406537278875544139e+00,2.269355588556779821e+03,8.027702873634608161e-02
4.399536740967285198e+00,2.272966584613950090e+03,7.105245415099450956e-02
4.392536203059036914e+00,2.276589090611440042e+03,7.187429552886658024e-02
4.385535665150764650e+00,2.280223161668489865e+03,9.848033556490577711e-02
4.378535127242504821e+00,2.283868853256809871e+03,9.416475264328308392e-02
