# wavelength / µm, wavenumber / cm-1, EADS / mOD
4.819569015462938033e+00,2.074874323392059978e+03,7.964652303335076344e-02
4.812568477554668434e+00,2.077892511377030132e+03,2.257595858475819062e-01
4.805567939646407716e+00,2.080919492886369881e+03,-2.898789619608870428e-03
4.798567401738158544e+00,2.083955306406190175e+03,1.594098007411767493e-01
4.791566863829892498e+00,2.086999990647530012e+03,1.797784565895433895e-01
4.784566325921623786e+00,2.090053584547969876e+03,7.975808075939588848e-02
4.777565788013367509e+00,2.093116127273310212e+03,1.713495098195801924e-01
4.770565250105105903e+00,2.096187658219259902e+03,1.281647370980376621e-01
4.763564712196848738e+00,2.099268217013100184e+03,1.096394714470698591e-02
4.756564174288581803e+00,2.102357843515409968e+03,1.110402418941539293e-01
4.749563636380328191e+00,2.105456577821760220e+03,1.100038094036540764e-01
4.742563098472069250e+00,2.108564460264480203e+03,1.184787224313621073e-01
4.735562560563815637e+00,2.111681531414380061e+03,1.944416292960777018e-02
4.728562022655543373e+00,2.114807832082539790e+03,8.316804220185286534e-02
4.721561484747273774e+00,2.117943403322060021e+03,5.943480045152352981e-02
4.714560946839015720e+00,2.121088286429880100e+03,1.665379297816187848e-02
4.707560408930772766e+00,2.124242522948589794e+03,1.253722696794104252e-01
4.700559871022498726e+00,2.127406154668280124e+03,1.137636316203321021e-02
4.693559333114243337e+00,2.130579223628320051e+03,5.917194112551727586e-02
4.686558795205978178e+00,2.133761772119300076e+03,7.338084673497317911e-02
4.679558257297728119e+00,2.136953842684849860e+03,1.128548064762027181e-01
4.672557719389450526e+00,2.140155478123590001e+03,1.846196691500968934e-01
4.665557181481195137e+00,2.143366721490970122e+03,3.775732443063195554e-01
4.658556643572930867e+00,2.146587616101280219e+03,5.339446787217730916e-01
4.651556105664671925e+00,2.149818205529540137e+03,4.054377611279948446e-01
4.644555567756415648e+00,2.153058533613489999e+03,-2.135925847605031347e-01
4.637555029848161148e+00,2.156308644455570175e+03,-6.528048714254993667e-01
4.630554491939902206e+00,2.159568582424919896e+03,-3.173277099384003708e-01
4.623553954031627278e+00,2.162838392159399973e+03,9.281746569640630939e-02
4.616553416123378994e+00,2.166118118567600050e+03,5.275730215519610633e-01
4.609552878215119165e+00,2.169407806830959998e+03,1.431288337478841433e+00
4.602552340306862000e+00,2.172707502405779906e+03,3.192283797092123621e+00
4.595551802398581742e+00,2.176017251025360110e+03,3.980302436755978945e+00
4.588551264490339676e+00,2.179337098702049843e+03,-1.153651216983634820e+00
4.581550726582061195e+00,2.182667091729490039e+03,-5.055914037562129870e+00
4.574550188673812023e+00,2.186007276684630142e+03,-2.309729852925426652e+00
4.567549650765546865e+00,2.189357700430020031e+03,-4.409955234493891374e-01
4.560549112857287035e+00,2.192718410115920051e+03,-2.603229653079017769e-01
4.553548574949031646e+00,2.196089453182550187e+03,-8.108327568627907156e-02
4.546548037040771817e+00,2.199470877362320152e+03,-2.426702704897617385e-02
4.539547499132508435e+00,2.202862730682069923e+03,5.082207940661913337e-02
4.532546961224247717e+00,2.206265061465349845e+03,9.068258177737463510e-02
4.525546423315983446e+00,2.209677918334719834e+03,9.534769639651025086e-02
4.518545885407715623e+00,2.213101350214059948e+03,1.739634916343849036e-02
4.511545347499461123e+00,2.216535406330900059e+03,3.899741231662869761e-02
4.504544809591197740e+00,2.219980136218810003e+03,3.287170660675970552e-02
4.497544271682941464e+00,2.223435589719740165e+03,3.322010679578729642e-02
4.490543733774681634e+00,2.226901816986459835e+03,6.742377685992126390e-02
4.483543195866425357e+00,2.230378868484960094e+03,4.023914990964953114e-02
4.476542657958165528e+00,2.233866794996919907e+03,9.294015281084000435e-02
4.469542120049895040e+00,2.237365647622169945e+03,5.599874026793251469e-02
4.462541582141645868e+00,2.240875477781170048e+03,6.633639275966463078e-02
4.455541044233385151e+00,2.244396337217579912e+03,4.664096228436945268e-02
4.448540506325114663e+00,2.247928278000750197e+03,2.989030285213306951e-02
4.441539968416854833e+00,2.251471352528300031e+03,3.539713339021816757e-02
4.434539430508599445e+00,2.255025613528729991e+03,3.261369407866456654e-02
4.427538892600329845e+00,2.258591114064030080e+03,2.769428078081452235e-02
4.420538354692073568e+00,2.262167907532289973e+03,4.912452036086708412e-02
4.413537816783819956e+00,2.265756047670410226e+03,1.143467626166977530e-01
4.406537278875544139e+00,2.269355588556779821e+03,1.048584935357662201e-01
4.399536740967285198e+00,2.272966584613950090e+03,8.784530587230354737e-02
4.392536203059036914e+00,2.276589090611440042e+03,2.113531012297191133e-02
4.385535665150764650e+00,2.280223161668489865e+03,6.642924677667734479e-02
4.378535127242504821e+00,2.283868853256809871e+03,5.487101950688141883e-02
