# delay / ps , transient absorption / mOD
2.200000000000000011e-01,1.225927329280268374e+01
2.399999999999999911e-01,1.242921752112778400e+01
2.600000000000000089e-01,1.392414768518792201e+01
2.800000000000000266e-01,1.395044982648026988e+01
2.999999999999999889e-01,1.408254513878621417e+01
3.200000000000000067e-01,1.393197161468959955e+01
3.400000000000000244e-01,1.413534862566965700e+01
3.599999999999999867e-01,1.428638524303604918e+01
3.800000000000000044e-01,1.422381368621921283e+01
4.000000000000000222e-01,1.399572565097005139e+01
4.199999999999999845e-01,1.394329882842146695e+01
4.400000000000000022e-01,1.443307796578212709e+01
4.599999999999999645e-01,1.430824191262592393e+01
4.799999999999999822e-01,1.433637371242952341e+01
5.000000000000000000e-01,1.437596399000195291e+01
5.200000000000000178e-01,1.411618835364794045e+01
5.400000000000000355e-01,1.419644771402573724e+01
5.600000000000000533e-01,1.407609353316193967e+01
5.799999999999999600e-01,1.433062978857712721e+01
5.999999999999999778e-01,1.396713404212686882e+01
6.199999999999999956e-01,1.375000329855053316e+01
6.400000000000000133e-01,1.366323386870570289e+01
6.600000000000000311e-01,1.379272573787776857e+01
6.800000000000000488e-01,1.384358318865141868e+01
7.000000000000000666e-01,1.383661223959719599e+01
7.199999999999999734e-01,1.383691546575748532e+01
7.399999999999999911e-01,1.364916241311692424e+01
7.600000000000000089e-01,1.352500086809149060e+01
7.800000000000000266e-01,1.362307397295553635e+01
8.000000000000000444e-01,1.390843307300445275e+01
8.200000000000000622e-01,1.403532975973931052e+01
8.399999999999999689e-01,1.386190548319817140e+01
8.599999999999999867e-01,1.378897570874424972e+01
8.800000000000000044e-01,1.354310302390131504e+01
9.000000000000000222e-01,1.386304027786813364e+01
9.199999999999999289e-01,1.399653593741067503e+01
9.400000000000000577e-01,1.388766877912119924e+01
9.599999999999999645e-01,1.419053651613833544e+01
9.800000000000000933e-01,1.401642816813967762e+01
1.000000000000000000e+00,1.359340992488368371e+01
1.020000000000000018e+00,1.377106944436230584e+01
1.040000000000000036e+00,1.367608084510009014e+01
1.059999999999999831e+00,1.398120105603013208e+01
1.080000000000000071e+00,1.377146582741299241e+01
1.099999999999999867e+00,1.354187604166050818e+01
1.120000000000000107e+00,1.352188117762208108e+01
1.139999999999999902e+00,1.346868012159194805e+01
1.159999999999999920e+00,1.353982105018371485e+01
1.179999999999999938e+00,1.329050192431875566e+01
1.199999999999999956e+00,1.354116258693235686e+01
1.219999999999999973e+00,1.374239958037316178e+01
1.239999999999999991e+00,1.360175800046636496e+01
1.260000000000000009e+00,1.343182489882122610e+01
1.280000000000000027e+00,1.361430214129234528e+01
1.299999999999999822e+00,1.372199788754547356e+01
1.320000000000000062e+00,1.340735037617297998e+01
1.339999999999999858e+00,1.345695234384702488e+01
1.360000000000000098e+00,1.363963741326477574e+01
1.379999999999999893e+00,1.377609092888746467e+01
1.400000000000000133e+00,1.385400321164281756e+01
1.419999999999999929e+00,1.355256789631509484e+01
1.439999999999999947e+00,1.341565057882622547e+01
1.459999999999999964e+00,1.363013025175639115e+01
1.479999999999999982e+00,1.366485357349545637e+01
1.500000000000000000e+00,1.365002228002927787e+01
1.520000000000000018e+00,1.354810303822165629e+01
1.539999999999999813e+00,1.360114351854589998e+01
1.560000000000000053e+00,1.363251627597621152e+01
1.579999999999999849e+00,1.352272641783348561e+01
1.600000000000000089e+00,1.355253592309033017e+01
1.619999999999999885e+00,1.368269483520061058e+01
1.640000000000000124e+00,1.385270039039475520e+01
1.659999999999999920e+00,1.341577776312888126e+01
1.679999999999999938e+00,1.310881938658810597e+01
1.699999999999999956e+00,1.314975410886782470e+01
1.719999999999999973e+00,1.330005761007160814e+01
1.739999999999999991e+00,1.350881618926562844e+01
1.760000000000000009e+00,1.354797860238255502e+01
1.780000000000000027e+00,1.344472284423946107e+01
1.800000000000000044e+00,1.332756196484940503e+01
1.819999999999999840e+00,1.355362300334028802e+01
1.839999999999999858e+00,1.335847693878694820e+01
1.860000000000000098e+00,1.355122323483135283e+01
1.880000000000000115e+00,1.336721449663507144e+01
1.899999999999999911e+00,1.352403535868301532e+01
1.919999999999999929e+00,1.334269532702055372e+01
1.939999999999999725e+00,1.342129043687038958e+01
1.960000000000000187e+00,1.334027919562769071e+01
1.979999999999999982e+00,1.341520432593997825e+01
2.000000000000000000e+00,1.363664516782116465e+01
2.020000000000000018e+00,1.363166666666666771e+01
2.040000000000000036e+00,1.358993145236986955e+01
2.060000000000000053e+00,1.332467517376614552e+01
2.080000000000000071e+00,1.355028880191546214e+01
2.100000000000000089e+00,1.329898700825397917e+01
2.119999999999999662e+00,1.351079742456334465e+01
2.140000000000000124e+00,1.318334765635010797e+01
2.160000000000000142e+00,1.335161040218615369e+01
2.180000000000000160e+00,1.333949864008856423e+01
2.199999999999999734e+00,1.343264021999536695e+01
2.219999999999999751e+00,1.356106440962879311e+01
2.240000000000000213e+00,1.339811040218615368e+01
2.260000000000000231e+00,1.336575847796596506e+01
2.279999999999999805e+00,1.328478501154498304e+01
2.299999999999999822e+00,1.328754346087026406e+01
2.319999999999999840e+00,1.365519872679914393e+01
2.340000000000000302e+00,1.355034612262323890e+01
2.359999999999999876e+00,1.346445205448319626e+01
2.379999999999999893e+00,1.358334370648453771e+01
2.399999999999999911e+00,1.341027463839377631e+01
2.420000000000000373e+00,1.353398373834412816e+01
2.439999999999999947e+00,1.340067925350045641e+01
2.459999999999999964e+00,1.344774510994839822e+01
2.479999999999999982e+00,1.344514351854589940e+01
2.500000000000000000e+00,1.349685763890942347e+01
2.520000000000000018e+00,1.352600891201171329e+01
2.540000000000000036e+00,1.349422379923866977e+01
2.560000000000000053e+00,1.357720588830753172e+01
2.580000000000000071e+00,1.352823951080756615e+01
