# wavenlength / µm,    wavenumber / cm-1,  norm. absorbance
4.716091303527636391e+00,2.120400000000000091e+03,-3.076832429884515663e-02
4.714090416254183680e+00,2.121300000000000182e+03,-4.572404969529645508e-02
4.711869198511049461e+00,2.122300000000000182e+03,-5.176088347193697620e-02
4.709650072999576054e+00,2.123300000000000182e+03,-5.362445708898690849e-02
4.707654646455136316e+00,2.124199999999999818e+03,-4.676105181643715886e-02
4.705439488048184238e+00,2.125199999999999818e+03,-3.458301067304131449e-02
4.703226413319537613e+00,2.126199999999999818e+03,-2.736103161509713735e-02
4.701236425179822653e+00,2.127099999999999909e+03,-2.655971179421568601e-02
4.699027301348620789e+00,2.128099999999999909e+03,-2.741321841015454189e-02
4.696820252688929997e+00,2.129099999999999909e+03,-2.495707215245277985e-02
4.694835680751173967e+00,2.130000000000000000e+03,-1.679286892697215774e-02
4.692632566870013733e+00,2.131000000000000000e+03,-3.224638901047102973e-03
4.690431519699812313e+00,2.132000000000000000e+03,1.185414632503956067e-02
4.688452341881944818e+00,2.132900000000000091e+03,2.685768155954345107e-02
4.686255213458924374e+00,2.133900000000000091e+03,3.455607555301168365e-02
4.684279557804009286e+00,2.134800000000000182e+03,3.112521463923773740e-02
4.682086337672066279e+00,2.135800000000000182e+03,3.045015319349516844e-02
4.679895170348183697e+00,2.136800000000000182e+03,3.960136022356149782e-02
4.677924872526547873e+00,2.137699999999999818e+03,4.924244974916670153e-02
4.675737597606023144e+00,2.138699999999999818e+03,5.095619676105182100e-02
4.673552367154274911e+00,2.139699999999999818e+03,5.018854584020740472e-02
4.671587405400354776e+00,2.140599999999999909e+03,5.695262785764788893e-02
4.669406051550242687e+00,2.141599999999999909e+03,6.907343187098077819e-02
4.667226733874731970e+00,2.142599999999999909e+03,7.646207198410828743e-02
4.665267086540704433e+00,2.143500000000000000e+03,7.800579105080637787e-02
4.663091629750524270e+00,2.144500000000000000e+03,8.216390020538029415e-02
4.660918200885574514e+00,2.145500000000000000e+03,8.980337362378371102e-02
4.658963846440551393e+00,2.146400000000000091e+03,9.879970371367967352e-02
4.656794262829468067e+00,2.147400000000000091e+03,1.081832261540015688e-01
4.654843364520782956e+00,2.148300000000000182e+03,1.161358203427493990e-01
4.652677615967989233e+00,2.149300000000000182e+03,1.270731625197804859e-01
4.650513881783936654e+00,2.150300000000000182e+03,1.414464159455910697e-01
4.648568240981777677e+00,2.151199999999999818e+03,1.521968957274165979e-01
4.646408326363721031e+00,2.152199999999999818e+03,1.574677620282145529e-01
4.644250417982537904e+00,2.153199999999999818e+03,1.557556984613312767e-01
4.642310013462699558e+00,2.154099999999999909e+03,1.429042793171947101e-01
4.640155909238550258e+00,2.155099999999999909e+03,1.265108918891619805e-01
4.638003803163118555e+00,2.156099999999999909e+03,1.106006531766607209e-01
4.636068613815484518e+00,2.157000000000000000e+03,8.657957644523753271e-02
4.633920296570899211e+00,2.158000000000000000e+03,5.506716945557388332e-02
4.631773969430291515e+00,2.159000000000000000e+03,2.546210565300831632e-02
4.629843974258067263e+00,2.159900000000000091e+03,1.261236995387360685e-02
4.627701420704335433e+00,2.160900000000000091e+03,1.622133934884347276e-02
4.625774817281894435e+00,2.161800000000000182e+03,1.925019359617521561e-02
4.623636027371924584e+00,2.162800000000000182e+03,1.933436584626780502e-02
4.621499214345132778e+00,2.163800000000000182e+03,2.172149085889364326e-02
4.619577770591767774e+00,2.164699999999999818e+03,2.924143968216558545e-02
4.617444706099645302e+00,2.165699999999999818e+03,3.914683007306151569e-02
4.615313610559837798e+00,2.166699999999999818e+03,4.249688562674657638e-02
4.613397305775973400e+00,2.167599999999999909e+03,4.411804316352984506e-02
4.611269943742507316e+00,2.168599999999999909e+03,5.645432813709976017e-02
4.609144542772861008e+00,2.169599999999999909e+03,7.231743038954917269e-02
4.607233356369500044e+00,2.170500000000000000e+03,8.672266927039494477e-02
4.605111673958092844e+00,2.171500000000000000e+03,1.119187906131106774e-01
4.602991944764096566e+00,2.172500000000000000e+03,1.414767179556244148e-01
4.601085856262077556e+00,2.173400000000000091e+03,1.689168714858085563e-01
4.598969830757909882e+00,2.174400000000000091e+03,2.107673142318440829e-01
4.597067071208568834e+00,2.175300000000000182e+03,2.828524292111376792e-01
4.594954739695813473e+00,2.176300000000000182e+03,3.958284232854113460e-01
4.592844348505028762e+00,2.177300000000000182e+03,5.497121309046834048e-01
4.590946653199890370e+00,2.178199999999999818e+03,7.301437662031582398e-01
4.588839941262849109e+00,2.179199999999999818e+03,9.027305477930036570e-01
4.586735161911751568e+00,2.180199999999999818e+03,1.000000000000000000e+00
4.584842510659759007e+00,2.181099999999999909e+03,9.609440759570385682e-01
4.582741395903029868e+00,2.182099999999999909e+03,8.057977845863776301e-01
4.580642206037286002e+00,2.183099999999999909e+03,6.173024477290327550e-01
4.578754578754578475e+00,2.184000000000000000e+03,4.519208107471128777e-01
4.576659038901602194e+00,2.185000000000000000e+03,3.286589677115248631e-01
4.574565416285452990e+00,2.186000000000000000e+03,2.485438200733982306e-01
4.572682792994649859e+00,2.186900000000000091e+03,1.945557388640113128e-01
4.570592805886922960e+00,2.187900000000000091e+03,1.474579980472038032e-01
4.568713450292397837e+00,2.188800000000000182e+03,1.091916097101107846e-01
4.566627089231892533e+00,2.189800000000000182e+03,9.286219319214840395e-02
4.564542632828190172e+00,2.190800000000000182e+03,8.743813339618196345e-02
4.562668248391659631e+00,2.191699999999999818e+03,7.649742432914716228e-02
4.560587403657591743e+00,2.192699999999999818e+03,6.130433318743476467e-02
4.558508456033186107e+00,2.193699999999999818e+03,4.942931214437225329e-02
4.556639023056593629e+00,2.194599999999999909e+03,4.749335039224269334e-02
4.554563672800146179e+00,2.195599999999999909e+03,5.194942931214437815e-02
4.552490212146044435e+00,2.196599999999999909e+03,5.313120770344433724e-02
4.550625711035267251e+00,2.197500000000000000e+03,4.480320527928352559e-02
4.548555833522856418e+00,2.198500000000000000e+03,3.620416820982458317e-02
4.546487838145033322e+00,2.199500000000000000e+03,3.935726069829299095e-02
