# wavenlength / nm,    wavenumber / 10^3 cm-1,  norm. absorbance
6.990385132000000112e+02,1.430536345447239732e+01,-8.204537700218019771e-05
6.980301514000000225e+02,1.432602872518265791e+01,-1.586154929807169836e-03
6.970214233000000377e+02,1.434676132715646979e+01,-2.402306674400816761e-03
6.960123900999999478e+02,1.436756032254432114e+01,-2.116116213704885302e-03
6.950030517999999802e+02,1.438842602791575231e+01,-3.133462064266151481e-03
6.939934081999999762e+02,1.440935876601025001e+01,-4.307731093305169879e-04
6.929833373999999822e+02,1.443036139587272082e+01,-1.611724591202165491e-03
6.919730224999999564e+02,1.445143043853273923e+01,8.976742943663128986e-04
6.909623413000000482e+02,1.447256876718586405e+01,-2.273108545053753246e-03
6.899513550000000350e+02,1.449377543435652704e+01,-1.484705762417203815e-03
6.889400634999999511e+02,1.451505077117641207e+01,-9.276339674355858246e-04
6.879284057999999504e+02,1.453639639777759029e+01,-3.436747561649448283e-03
6.870610351999999921e+02,1.455474766821706112e+01,-2.875138710003939061e-03
6.860487670999999636e+02,1.457622326510555055e+01,-1.945496367434692815e-03
6.850361937999999782e+02,1.459776883397719160e+01,-1.690933367200248005e-03
6.840233154000000013e+02,1.461938471227730929e+01,4.016195484350866887e-03
6.830100707999999941e+02,1.464107255151763987e+01,-1.774863949387368639e-03
6.819965819999999894e+02,1.466283008438889901e+01,-5.151291239104114662e-03
6.809827271000000337e+02,1.468466027410932107e+01,1.817124590876628915e-03
6.799685058999999683e+02,1.470656348526626722e+01,-1.789593683667908440e-03
6.789540405000000192e+02,1.472853743183519626e+01,-2.401751168107865014e-03
6.779392090000000053e+02,1.475058510740304385e+01,-6.819379690024370520e-03
6.770690918000000238e+02,1.476954142658443381e+01,-3.683346203424504341e-03
6.760536498999999822e+02,1.479172548137144538e+01,-6.807455140799924254e-03
6.750379639000000225e+02,1.481398163478905872e+01,-9.743405539416017617e-04
6.740219115999999531e+02,1.483631292677399749e+01,1.743644329467357616e-03
6.730054932000000463e+02,1.485871972968912402e+01,-3.089299251900438220e-03
6.719888306000000284e+02,1.488119972332170882e+01,9.233860184622576543e-05
6.709718017999999802e+02,1.490375597480138481e+01,-4.920111058795455933e-03
6.699544677999999749e+02,1.492638750934530378e+01,-5.505646938793865887e-03
6.689368286000000126e+02,1.494909470140660801e+01,-5.830819662652539717e-03
6.680643311000000040e+02,1.496861834179130568e+01,-7.541396866152551282e-03
6.670460815000000139e+02,1.499146802198852235e+01,3.971925863159856589e-04
6.660275878999999577e+02,1.501439306970785559e+01,-2.603091066745520221e-04
6.650087280000000192e+02,1.503739662195832061e+01,9.413570095101412433e-04
6.639895629999999755e+02,1.506047769006875292e+01,3.487918327377068496e-04
6.629700317000000496e+02,1.508363805579237926e+01,1.250496064512403478e-03
6.619502562999999782e+02,1.510687533515801917e+01,-1.927989096291473671e-03
6.609301758000000291e+02,1.513019130635977660e+01,-4.064577382962415893e-03
6.600555419999999458e+02,1.515024018993844024e+01,-1.432290747016971735e-04
6.590348510999999689e+02,1.517370436982039017e+01,-1.325437361829283171e-03
6.580138550000000350e+02,1.519724839228499036e+01,1.773982305609466672e-03
6.569925537000000304e+02,1.522087266238067649e+01,5.643788476010815893e-04
6.559708861999999954e+02,1.524457900552477341e+01,1.640942761531689539e-03
6.549489746000000423e+02,1.526836499913194700e+01,-3.448688450405613948e-03
6.540728149000000258e+02,1.528881765484914901e+01,-5.440163709509492421e-03
6.530502930000000106e+02,1.531275631783538671e+01,-9.729505277927553422e-04
