# wavelength / nm, time resolution / fs
3.560000000000000000e+02,3.227860659326355517e+02
3.580000000000000000e+02,3.049435526271133199e+02
3.680000000000000000e+02,2.666195555351285975e+02
3.710000000000000000e+02,2.647847669884824882e+02
3.720000000000000000e+02,2.648762854848171173e+02
3.730000000000000000e+02,2.613451195972208438e+02
3.740000000000000000e+02,2.630508632192098730e+02
3.750000000000000000e+02,2.615937544555320073e+02
3.760000000000000000e+02,2.594114816921256192e+02
3.770000000000000000e+02,2.581581619340348652e+02
3.780000000000000000e+02,2.572923090852532937e+02
3.790000000000000000e+02,2.580945558736389671e+02
3.800000000000000000e+02,2.547671373353051081e+02
3.810000000000000000e+02,2.546316835105291148e+02
3.820000000000000000e+02,2.521815931729541944e+02
3.830000000000000000e+02,2.511543903998230576e+02
3.840000000000000000e+02,2.536258759479898117e+02
3.850000000000000000e+02,2.493510208379585436e+02
3.860000000000000000e+02,2.511347255673500172e+02
3.870000000000000000e+02,2.480958838059690663e+02
3.880000000000000000e+02,2.483919135091242936e+02
3.890000000000000000e+02,2.463398813378726118e+02
3.910000000000000000e+02,2.439219577998818238e+02
3.920000000000000000e+02,2.419221299573650015e+02
3.940000000000000000e+02,2.403790934272895470e+02
3.950000000000000000e+02,2.396693876056557428e+02
3.970000000000000000e+02,2.377789850483035536e+02
3.980000000000000000e+02,2.358979705246770209e+02
3.990000000000000000e+02,2.359886649359536079e+02
4.000000000000000000e+02,2.331737406013757550e+02
4.010000000000000000e+02,2.320905524424592841e+02
4.020000000000000000e+02,2.317266097729111891e+02
4.030000000000000000e+02,2.301974252888850287e+02
4.040000000000000000e+02,2.300194346468391018e+02
4.050000000000000000e+02,2.288641794192356826e+02
4.060000000000000000e+02,2.283712910518256933e+02
4.070000000000000000e+02,2.276278897348605028e+02
4.080000000000000000e+02,2.272995890719527097e+02
4.090000000000000000e+02,2.260687646861046289e+02
4.100000000000000000e+02,2.237109824612422528e+02
4.110000000000000000e+02,2.228588294445364397e+02
4.120000000000000000e+02,2.213959989229894347e+02
