# wavenlength / nm,    wavenumber / 10^3 cm-1, norm. transient absorption
3.507587941265592235e+02,2.850962019327687713e+01,2.387269027670881616e-01
3.517059736572107909e+02,2.843284092111119676e+01,2.406225524082705181e-01
3.526531531878623582e+02,2.835647408680019765e+01,2.307266722872183540e-01
3.536003327185139256e+02,2.828051637598591128e+01,1.923779976899378241e-01
3.545475122491654929e+02,2.820496450972781233e+01,2.038144590837578929e-01
3.554946917798170603e+02,2.812981524403100053e+01,1.925019000493244092e-01
3.564418713104686276e+02,2.805506536938187878e+01,1.964422955868610765e-01
3.573890508411201381e+02,2.798071171029123505e+01,1.791607501067446762e-01
3.583362303717717054e+02,2.790675112484456122e+01,1.631965706653024928e-01
3.592834099024232728e+02,2.783318050425949508e+01,1.559753014765355716e-01
3.602305894330748401e+02,2.775999677245022568e+01,1.564937007981697936e-01
3.611777689637264075e+02,2.768719688559877667e+01,1.351529913436226304e-01
3.621249484943779180e+02,2.761477783173299372e+01,1.335311928870486775e-01
3.630721280250294853e+02,2.754273663031115404e+01,1.166540209472309853e-01
3.640193075556810527e+02,2.747107033181304914e+01,1.234618137712140268e-01
3.649664870863326200e+02,2.739977601733746582e+01,1.006740605405497396e-01
3.659136666169841874e+02,2.732885079820585617e+01,1.108752392336948139e-01
3.668608461476356979e+02,2.725829181557222824e+01,8.903536385826088528e-02
3.678080256782873221e+02,2.718809624003896985e+01,9.417289878776383127e-02
3.687552052089388326e+02,2.711826127127871189e+01,8.921983117806467356e-02
3.697023847395903999e+02,2.704878413766187251e+01,8.692466628297895737e-02
3.706495642702419673e+02,2.697966209589002418e+01,8.393677763865117769e-02
3.715967438008935346e+02,2.691089243063478520e+01,8.305871896400214560e-02
3.725439233315451020e+02,2.684247245418229610e+01,9.490833160102091215e-02
3.734911028621966125e+02,2.677439950608302155e+01,8.698054587612992494e-02
3.744382823928481798e+02,2.670667095280693815e+01,8.122378911823853465e-02
3.753854619234997472e+02,2.663928418740391280e+01,6.544628305429135706e-02
3.763326414541513145e+02,2.657223662916920404e+01,5.541217661854400817e-02
3.772798209848028819e+02,2.650552572331401535e+01,5.390296694022445739e-02
3.782270005154543924e+02,2.643914894064100451e+01,7.492573292996300427e-02
3.791741800461059597e+02,2.637310377722460686e+01,6.962085262206996195e-02
3.801213595767575271e+02,2.630738775409622932e+01,6.117578012837700252e-02
3.810685391074090944e+02,2.624199841693404878e+01,5.429057948456629534e-02
3.820157186380606618e+02,2.617693333575747872e+01,6.164173382110026828e-02
3.829628981687122291e+02,2.611219010462615131e+01,5.247197869244772661e-02
3.839100776993637965e+02,2.604776634134335467e+01,5.761722844088960210e-02
3.848572572300153070e+02,2.598365968716385765e+01,5.321895953511432409e-02
3.858044367606668743e+02,2.591986780650602640e+01,3.909429072857409371e-02
3.867516162913184417e+02,2.585638838666819339e+01,3.196789734296883595e-02
3.876987958219700090e+02,2.579321913754915840e+01,3.896717742902412046e-02
3.886459753526215763e+02,2.573035779137277856e+01,2.820217984335298897e-02
3.895931548832730869e+02,2.566780210241661919e+01,3.516783966922292642e-02
3.905403344139246542e+02,2.560554984674446288e+01,3.777014359600736754e-02
3.914875139445762215e+02,2.554359882194281894e+01,3.378329505705288116e-02
3.924346934752277889e+02,2.548194684686114186e+01,3.184540718507083978e-02
3.933818730058793562e+02,2.542059176135587606e+01,3.111925703276401459e-02
3.943290525365308667e+02,2.535953142603814214e+01,3.027912364781301310e-02
3.952762320671824909e+02,2.529876372202507184e+01,3.767389307526870790e-02
3.962234115978340014e+02,2.523828655069473825e+01,2.780734404164541748e-02
3.971705911284855688e+02,2.517809783344451446e+01,3.637361671100715343e-02
3.981177706591371361e+02,2.511819551145296714e+01,4.255741169544635660e-02
3.990649501897887035e+02,2.505857754544508254e+01,3.173182313351569084e-02
4.000121297204402708e+02,2.499924191546086760e+01,2.812572831686243821e-02
4.009593092510917813e+02,2.494018662062719116e+01,3.753106174165000974e-02
4.019064887817433487e+02,2.488140967893288646e+01,3.256671112032810678e-02
4.028536683123949160e+02,2.482290912700700503e+01,3.804344547486097211e-02
4.038008478430464834e+02,2.476468301990020748e+01,3.174789970728586486e-02
4.047480273736980507e+02,2.470672943086920270e+01,4.712871921933383529e-02
4.056952069043495612e+02,2.464904645116424220e+01,5.609911183188299316e-02
4.066423864350011854e+02,2.459163218981951005e+01,6.058035352697280912e-02
