# wavenlength / nm,    wavenumber / 10^3 cm-1, norm. transient absorption
3.507587941265592235e+02,2.850962019327687713e+01,1.653974171577199170e+00
3.517059736572107909e+02,2.843284092111119676e+01,1.659727689366293779e+00
3.526531531878623582e+02,2.835647408680019765e+01,1.639922668770778191e+00
3.536003327185139256e+02,2.828051637598591128e+01,1.650053846056733775e+00
3.545475122491654929e+02,2.820496450972781233e+01,1.629585151079666394e+00
3.554946917798170603e+02,2.812981524403100053e+01,1.633517283028486533e+00
3.564418713104686276e+02,2.805506536938187878e+01,1.649686595543370382e+00
3.573890508411201381e+02,2.798071171029123505e+01,1.672720000329988022e+00
3.583362303717717054e+02,2.790675112484456122e+01,1.691128551185131723e+00
3.592834099024232728e+02,2.783318050425949508e+01,1.706090523598609687e+00
3.602305894330748401e+02,2.775999677245022568e+01,1.718020089298388786e+00
3.611777689637264075e+02,2.768719688559877667e+01,1.748269502460319647e+00
3.621249484943779180e+02,2.761477783173299372e+01,1.783608378784165671e+00
3.630721280250294853e+02,2.754273663031115404e+01,1.830842106366939559e+00
3.640193075556810527e+02,2.747107033181304914e+01,1.859917037759657887e+00
3.649664870863326200e+02,2.739977601733746582e+01,1.896760551286378327e+00
3.659136666169841874e+02,2.732885079820585617e+01,1.941016390201000696e+00
3.668608461476356979e+02,2.725829181557222824e+01,1.987808842764596351e+00
3.678080256782873221e+02,2.718809624003896985e+01,2.043449275938517218e+00
3.687552052089388326e+02,2.711826127127871189e+01,2.101468258822734470e+00
3.697023847395903999e+02,2.704878413766187251e+01,2.153273265304876727e+00
3.706495642702419673e+02,2.697966209589002418e+01,2.167624428010980431e+00
3.715967438008935346e+02,2.691089243063478520e+01,2.219564349377300072e+00
3.725439233315451020e+02,2.684247245418229610e+01,2.256610185292847959e+00
3.734911028621966125e+02,2.677439950608302155e+01,2.288816077024893758e+00
3.744382823928481798e+02,2.670667095280693815e+01,2.318988704455518857e+00
3.753854619234997472e+02,2.663928418740391280e+01,2.326813772231337563e+00
3.763326414541513145e+02,2.657223662916920404e+01,2.344809551319369856e+00
3.772798209848028819e+02,2.650552572331401535e+01,2.374108875218209569e+00
