# wavenlength / nm,    wavenumber / 10^3 cm-1, norm. transient absorption
3.507587941265592235e+02,2.850962019327687713e+01,1.356573033707864917e-01
3.517059736572107909e+02,2.843284092111119676e+01,8.667602996254680781e-02
3.526531531878623582e+02,2.835647408680019765e+01,9.493632958801498378e-02
3.536003327185139256e+02,2.828051637598591128e+01,7.229588014981272459e-02
3.545475122491654929e+02,2.820496450972781233e+01,8.161610486891385241e-02
3.554946917798170603e+02,2.812981524403100053e+01,5.936516853932583687e-02
3.564418713104686276e+02,2.805506536938187878e+01,5.769475655430712085e-02
3.573890508411201381e+02,2.798071171029123505e+01,6.660299625468164841e-02
3.583362303717717054e+02,2.790675112484456122e+01,5.859737827715354869e-02
3.592834099024232728e+02,2.783318050425949508e+01,5.260861423220974248e-02
3.602305894330748401e+02,2.775999677245022568e+01,4.411235955056179436e-02
3.611777689637264075e+02,2.768719688559877667e+01,2.928277153558052348e-02
3.621249484943779180e+02,2.761477783173299372e+01,2.944007490636704055e-02
3.630721280250294853e+02,2.754273663031115404e+01,2.821535580524344930e-02
3.640193075556810527e+02,2.747107033181304914e+01,3.111797752808988932e-02
3.649664870863326200e+02,2.739977601733746582e+01,3.666666666666667466e-03
3.659136666169841874e+02,2.732885079820585617e+01,-5.337078651685389120e-03
3.668608461476356979e+02,2.725829181557222824e+01,-4.264044943820226655e-03
3.678080256782873221e+02,2.718809624003896985e+01,5.355805243445684342e-04
3.687552052089388326e+02,2.711826127127871189e+01,-8.971910112359551825e-03
3.697023847395903999e+02,2.704878413766187251e+01,-2.383520599250936109e-02
3.706495642702419673e+02,2.697966209589002418e+01,-5.191011235955055557e-03
3.715967438008935346e+02,2.691089243063478520e+01,-4.833333333333334446e-03
3.725439233315451020e+02,2.684247245418229610e+01,-1.566666666666666555e-02
3.734911028621966125e+02,2.677439950608302155e+01,-1.692509363295880559e-02
3.744382823928481798e+02,2.670667095280693815e+01,-2.944756554307115248e-02
3.753854619234997472e+02,2.663928418740391280e+01,-3.098689138576778829e-02
3.763326414541513145e+02,2.657223662916920404e+01,-3.976029962546815538e-02
3.772798209848028819e+02,2.650552572331401535e+01,-5.580337078651685656e-02
3.782270005154543924e+02,2.643914894064100451e+01,-5.255992509363296289e-02
3.791741800461059597e+02,2.637310377722460686e+01,-6.251310861423221843e-02
3.801213595767575271e+02,2.630738775409622932e+01,-5.795880149812734222e-02
3.810685391074090944e+02,2.624199841693404878e+01,-6.303558052434456160e-02
3.820157186380606618e+02,2.617693333575747872e+01,-5.412172284644194142e-02
3.829628981687122291e+02,2.611219010462615131e+01,-6.099063670411983967e-02
3.839100776993637965e+02,2.604776634134335467e+01,-7.718726591760299849e-02
3.848572572300153070e+02,2.598365968716385765e+01,-7.138764044943819720e-02
3.858044367606668743e+02,2.591986780650602640e+01,-8.370037453183520881e-02
3.867516162913184417e+02,2.585638838666819339e+01,-7.666292134831460825e-02
3.876987958219700090e+02,2.579321913754915840e+01,-7.375655430711609839e-02
3.886459753526215763e+02,2.573035779137277856e+01,-7.718164794007491281e-02
3.895931548832730869e+02,2.566780210241661919e+01,-6.207865168539326850e-02
3.905403344139246542e+02,2.560554984674446288e+01,-7.070411985018726364e-02
3.914875139445762215e+02,2.554359882194281894e+01,-6.038389513108614881e-02
3.924346934752277889e+02,2.548194684686114186e+01,-7.754681647940074585e-02
3.933818730058793562e+02,2.542059176135587606e+01,-8.017602996254680203e-02
3.943290525365308667e+02,2.535953142603814214e+01,-6.803183520599251355e-02
3.952762320671824909e+02,2.529876372202507184e+01,-5.388202247191011679e-02
3.962234115978340014e+02,2.523828655069473825e+01,-6.282397003745318620e-02
3.971705911284855688e+02,2.517809783344451446e+01,-6.422659176029962835e-02
3.981177706591371361e+02,2.511819551145296714e+01,-4.722659176029962713e-02
3.990649501897887035e+02,2.505857754544508254e+01,-4.100000000000000172e-02
4.000121297204402708e+02,2.499924191546086760e+01,-4.229026217228464002e-02
4.009593092510917813e+02,2.494018662062719116e+01,-3.399625468164793607e-02
4.019064887817433487e+02,2.488140967893288646e+01,-3.208614232209738154e-02
4.028536683123949160e+02,2.482290912700700503e+01,-1.523408239700374533e-02
4.038008478430464834e+02,2.476468301990020748e+01,-1.789513108614232059e-02
4.047480273736980507e+02,2.470672943086920270e+01,-1.598127340823970316e-02
4.056952069043495612e+02,2.464904645116424220e+01,-1.423220973782749962e-04
4.066423864350011854e+02,2.459163218981951005e+01,1.164794007490635745e-03
4.075895659656526959e+02,2.453448477344656453e+01,1.640449438202245093e-03
4.085367454963042633e+02,2.447760234603049412e+01,2.899999999999999800e-02
4.094839250269558306e+02,2.442098306872903990e+01,4.372659176029962402e-02
4.104311045576073980e+02,2.436462511967442168e+01,4.689513108614232206e-02
4.113782840882589653e+02,2.430852669377792097e+01,6.142883895131086985e-02
4.123254636189104758e+02,2.425268600253717111e+01,6.652808988764045972e-02
4.132726431495620432e+02,2.419710127384606935e+01,7.644756554307115259e-02
4.142198226802136105e+02,2.414177075180733212e+01,6.949999999999999234e-02
4.151670022108651779e+02,2.408669269654758338e+01,9.813295880149812411e-02
4.161141817415167452e+02,2.403186538403498673e+01,1.114812734082396978e-01
4.170613612721682557e+02,2.397728710589937151e+01,1.246779026217228331e-01
4.180085408028198231e+02,2.392295616925476409e+01,1.282790262172284756e-01
4.189557203334713904e+02,2.386887089652437410e+01,1.533707865168539297e-01
4.199028998641229578e+02,2.381502962526792544e+01,1.623202247191011527e-01
4.208500793947745251e+02,2.376143070801132495e+01,1.667340823970037689e-01
4.217972589254260356e+02,2.370807251207861555e+01,1.825337078651685374e-01
4.227444384560776598e+02,2.365495341942619234e+01,2.022209737827715403e-01
4.236916179867291703e+02,2.360207182647927482e+01,2.040056179775281420e-01
4.246387975173807376e+02,2.354942614397049638e+01,2.286123595505617501e-01
4.255859770480323050e+02,2.349701479678073213e+01,2.502528089887640084e-01
4.265331565786838723e+02,2.344483622378198362e+01,2.534307116104868585e-01
4.274803361093354397e+02,2.339288887768238467e+01,2.622415730337078199e-01
4.284275156399868933e+02,2.334117122487325702e+01,2.726722846441947401e-01
4.293746951706385175e+02,2.328968174527817325e+01,2.859756554307116283e-01
4.303218747012900849e+02,2.323841893220405197e+01,2.972153558052434419e-01
4.312690542319416522e+02,2.318738129219417843e+01,3.012584269662921255e-01
4.322162337625932196e+02,2.313656734488315792e+01,3.199943820224718238e-01
4.331634132932447301e+02,2.308597562285381599e+01,3.247940074906366936e-01
4.341105928238963543e+02,2.303560467149589641e+01,3.306835205992509352e-01
4.350577723545478648e+02,2.298545304886670593e+01,3.210599250936329585e-01
4.360049518851994321e+02,2.293551932555346440e+01,3.346441947565542696e-01
4.369521314158509995e+02,2.288580208453753073e+01,3.273614232209737795e-01
4.378993109465025668e+02,2.283629992106035544e+01,3.304962546816478941e-01
4.388464904771541342e+02,2.278701144249116339e+01,3.144831460674157309e-01
4.397936700078056447e+02,2.273793526819637023e+01,3.083764044943820282e-01
4.407408495384572120e+02,2.268907002941065443e+01,3.057378277153557922e-01
4.416880290691087225e+02,2.264041436910971683e+01,2.934925093632959614e-01
4.426352085997603467e+02,2.259196694188464605e+01,2.786647940074906682e-01
4.435823881304119141e+02,2.254372641381792164e+01,2.686760299625467474e-01
4.445295676610633677e+02,2.249569146236097694e+01,2.566704119850187205e-01
4.454767471917150488e+02,2.244786077621332510e+01,2.328220973782771375e-01
4.464239267223665024e+02,2.240023305520327668e+01,2.324625468164794317e-01
4.473711062530181266e+02,2.235280701017006422e+01,2.036891385767790330e-01
4.483182857836697508e+02,2.230558136284758319e+01,1.965299625468164835e-01
4.492654653143212045e+02,2.225855484574952570e+01,1.970430711610486607e-01
4.502126448449728287e+02,2.221172620205596715e+01,1.680655430711610610e-01
4.511598243756243392e+02,2.216509418550143451e+01,1.544269662921348707e-01
4.521070039062759065e+02,2.211865756026432095e+01,1.485692883895130822e-01
4.530541834369274170e+02,2.207241510085771807e+01,1.298707865168539366e-01
4.540013629675790412e+02,2.202636559202161592e+01,1.255730337078651560e-01
4.549485424982306085e+02,2.198050782861644592e+01,1.002940074906367024e-01
4.558957220288821190e+02,2.193484061551793829e+01,8.841947565543070708e-02
4.568429015595337432e+02,2.188936276751329757e+01,8.232771535580524214e-02
4.577900810901852537e+02,2.184407310919868195e+01,7.170786516853931702e-02
4.587372606208368211e+02,2.179897047487792250e+01,5.668539325842696791e-02
4.596844401514883316e+02,2.175405370846251429e+01,4.567415730337077290e-02
4.606316196821398989e+02,2.170932166337284386e+01,3.715543071161048899e-02
4.615787992127915800e+02,2.166477320244060678e+01,2.978651685393259030e-02
4.625259787434430905e+02,2.162040719781248299e+01,2.380337078651685243e-02
4.634731582740946010e+02,2.157622253085490271e+01,1.457303370786516665e-02
4.644203378047461683e+02,2.153221809206005943e+01,1.305430711610486467e-02
4.653675173353976220e+02,2.148839278095304550e+01,2.140449438202247055e-03
4.663146968660493030e+02,2.144474550600007845e+01,-1.430711610486888998e-03
4.672618763967008135e+02,2.140127518451793520e+01,-2.807116104868915326e-03
4.682090559273523240e+02,2.135798074258437040e+01,-1.506928838951310766e-02
4.691562354580038914e+02,2.131486111494971425e+01,-1.650561797752809340e-02
4.701034149886555156e+02,2.127191524494949348e+01,-1.476591760299625182e-02
4.710505945193070829e+02,2.122914208441812534e+01,-1.135580524344569076e-02
4.719977740499585934e+02,2.118654059360362751e+01,-1.674719101123595469e-02
4.729449535806101608e+02,2.114410974108336561e+01,-2.843820224719100995e-02
4.738921331112617281e+02,2.110184850368084142e+01,-2.967041198501872701e-02
4.748393126419132386e+02,2.105975586638341213e+01,-3.908239700374532138e-02
4.757864921725648628e+02,2.101783082226105037e+01,-4.764232209737827989e-02
4.767336717032163733e+02,2.097607237238605293e+01,-4.298127340823970632e-02
4.776808512338680544e+02,2.093447952575368021e+01,-5.110674157303370102e-02
4.786280307645195080e+02,2.089305129920379756e+01,-5.522284644194756092e-02
4.795752102951710754e+02,2.085178671734336575e+01,-5.577902621722845983e-02
4.805223898258225859e+02,2.081068481246992619e+01,-4.483707865168540252e-02
4.814695693564742101e+02,2.076974462449592806e+01,-5.125468164794006604e-02
4.824167488871257774e+02,2.072896520087399708e+01,-5.977902621722844950e-02
4.833639284177772879e+02,2.068834559652303895e+01,-5.689513108614231707e-02
4.843111079484289121e+02,2.064788487375522763e+01,-6.231835205992508619e-02
4.852582874790804226e+02,2.060758210220387454e+01,-6.475280898876405178e-02
4.862054670097319899e+02,2.056743635875208653e+01,-5.905992509363294785e-02
4.871526465403835005e+02,2.052744672746231203e+01,-6.742322097378276868e-02
4.880998260710350678e+02,2.048761229950666163e+01,-7.169288389513107929e-02
4.890470056016866920e+02,2.044793217309806721e+01,-6.368539325842696719e-02
4.899941851323382025e+02,2.040840545342224388e+01,-7.302621722846441843e-02
4.909413646629897130e+02,2.036903125257040159e+01,-7.551685393258425472e-02
4.918885441936413372e+02,2.032980868947277031e+01,-7.468352059925094377e-02
4.928357237242928477e+02,2.029073688983289259e+01,-7.025093632958800960e-02
4.937829032549444719e+02,2.025181498606263375e+01,-6.138389513108614970e-02
4.947300827855959824e+02,2.021304211721800215e+01,-6.398876404494381609e-02
4.956772623162476066e+02,2.017441742893562306e+01,-7.833146067415730496e-02
4.966244418468991171e+02,2.013594007337002978e+01,-7.023220973782770549e-02
4.975716213775506844e+02,2.009760920913159055e+01,-5.628089887640449346e-02
4.985188009082021949e+02,2.005942400122520297e+01,-7.244756554307116292e-02
4.994659804388537623e+02,2.002138362098964208e+01,-6.691760299625468256e-02
5.004131599695053296e+02,1.998348724603763316e+01,-7.127528089887640028e-02
5.013603395001569538e+02,1.994573406019657824e+01,-6.394007490636705038e-02
5.023075190308084643e+02,1.990812325344996836e+01,-5.984082397003744752e-02
5.032546985614600317e+02,1.987065402187943874e+01,-6.077153558052434540e-02
5.042018780921114853e+02,1.983332556760750975e+01,-5.799438202247191032e-02
5.051490576227631095e+02,1.979613709874092820e+01,-3.709550561797752416e-02
5.060962371534147337e+02,1.975908782931469432e+01,-4.397752808988763390e-02
5.070434166840662442e+02,1.972217697923667501e+01,-4.622284644194756681e-02
5.079905962147178116e+02,1.968540377423284582e+01,-3.775655430711611499e-02
5.089377757453693789e+02,1.964876744579317247e+01,-2.852434456928839082e-02
5.098849552760209463e+02,1.961226723111805370e+01,-2.662734082397003391e-02
5.108321348066724568e+02,1.957590237306539294e+01,-2.357490636704119222e-02
5.117793143373240810e+02,1.953967212009823129e+01,-2.268164794007490256e-02
5.127264938679755915e+02,1.950357572623299518e+01,-2.272659176029962619e-02
5.136736733986272156e+02,1.946761245098827686e+01,-7.147940074906371233e-03
5.146208529292787262e+02,1.943178155933420825e+01,-5.741573033707865308e-03
5.155680324599302367e+02,1.939608232164238544e+01,6.754681647940073350e-03
5.165152119905818608e+02,1.936051401363632962e+01,8.088014981273407289e-03
5.174623915212333713e+02,1.932507591634253785e+01,1.726217228464419634e-02
5.184095710518849955e+02,1.928976731604199202e+01,2.556741573033707859e-02
5.193567505825365060e+02,1.925458750422228960e+01,3.556741573033707360e-02
5.203039301131880165e+02,1.921953577753021847e+01,nan
5.212511096438396407e+02,1.918461143772489663e+01,nan
5.221982891744911512e+02,1.914981379163141284e+01,nan
5.231454687051427754e+02,1.911514215109495396e+01,nan
5.240926482357942859e+02,1.908059583293544748e+01,nan
5.250398277664457964e+02,1.904617415890269072e+01,nan
5.259870072970974206e+02,1.901187645563195616e+01,nan
5.269341868277489311e+02,1.897770205460009407e+01,nan
5.278813663584005553e+02,1.894365029208207574e+01,nan
5.288285458890520658e+02,1.890972050910805891e+01,nan
5.297757254197035763e+02,1.887591205142084050e+01,nan
5.307229049503552005e+02,1.884222426943381734e+01,nan
5.316700844810067110e+02,1.880865651818940876e+01,nan
5.326172640116583352e+02,1.877520815731784509e+01,nan
5.335644435423098457e+02,1.874187855099649980e+01,nan
5.345116230729613562e+02,1.870866706790955902e+01,nan
5.354588026036129804e+02,1.867557308120818149e+01,nan
5.364059821342646046e+02,1.864259596847105982e+01,nan
5.373531616649161151e+02,1.860973511166539396e+01,nan
5.383003411955676256e+02,1.857698989710828030e+01,nan
5.392475207262192498e+02,1.854435971542850936e+01,nan
5.401947002568707603e+02,1.851184396152877554e+01,nan
5.411418797875223845e+02,1.847944203454825640e+01,nan
5.420890593181738950e+02,1.844715333782561473e+01,nan
5.430362388488254055e+02,1.841497727886237357e+01,nan
5.439834183794770297e+02,1.838291326928665015e+01,nan
5.449305979101285402e+02,1.835096072481734097e+01,nan
5.458777774407801644e+02,1.831911906522858047e+01,nan
5.468249569714316749e+02,1.828738771431465437e+01,nan
5.477721365020831854e+02,1.825576609985522580e+01,nan
5.487193160327348096e+02,1.822425365358093785e+01,nan
5.496664955633863201e+02,1.819284981113938571e+01,nan
5.506136750940379443e+02,1.816155401206140496e+01,1.155992509363295700e-01
5.515608546246894548e+02,1.813036569972776135e+01,1.138483146067415658e-01
5.525080341553409653e+02,1.809928432133611409e+01,1.009550561797752793e-01
5.534552136859925895e+02,1.806830932786836641e+01,9.973970037453183668e-02
5.544023932166442137e+02,1.803744017405836431e+01,1.009981273408239733e-01
5.553495727472957242e+02,1.800667631835986526e+01,1.034419475655430770e-01
5.562967522779472347e+02,1.797601722291489423e+01,1.099737827715355776e-01
5.572439318085987452e+02,1.794546235352237673e+01,1.121161048689138517e-01
5.581911113392503694e+02,1.791501117960713074e+01,1.122303370786516818e-01
5.591382908699019936e+02,1.788466317418915352e+01,1.127041198501872454e-01
5.600854704005535041e+02,1.785441781385321391e+01,1.146161048689138401e-01
5.610326499312050146e+02,1.782427457871876086e+01,1.106498127340823784e-01
5.619798294618565251e+02,1.779423295241014458e+01,1.112659176029962560e-01
5.629270089925081493e+02,1.776429242202711123e+01,1.240112359550561705e-01
5.638741885231597735e+02,1.773445247811564585e+01,1.256853932584269529e-01
5.648213680538112840e+02,1.770471261463905321e+01,1.249569288389512783e-01
5.657685475844627945e+02,1.767507232894934788e+01,1.341067415730336776e-01
5.667157271151143050e+02,1.764553112175894611e+01,1.278726591760299680e-01
5.676629066457659292e+02,1.761608849711263503e+01,1.299007490636704398e-01
5.686100861764175534e+02,1.758674396235980453e+01,1.301123595505617736e-01
5.695572657070690639e+02,1.755749702812699198e+01,1.305486891385767567e-01
5.705044452377205744e+02,1.752834720829063997e+01,1.338782771535580729e-01
5.714516247683720849e+02,1.749929401995020228e+01,1.322247191011236001e-01
5.723988042990237091e+02,1.747033698340144525e+01,1.323071161048688937e-01
5.733459838296753333e+02,1.744147562211007596e+01,1.327509363295880096e-01
5.742931633603268438e+02,1.741270946268558362e+01,1.328632958801498343e-01
5.752403428909783543e+02,1.738403803485534738e+01,1.333838951310861443e-01
5.761875224216300921e+02,1.735546087143903193e+01,1.324475655430711885e-01
5.771347019522816026e+02,1.732697750832320693e+01,1.410861423220973743e-01
5.780818814829331131e+02,1.729858748443620442e+01,1.219625468164793891e-01
5.790290610135846237e+02,1.727029034172326050e+01,1.275749063670411909e-01
5.799762405442361342e+02,1.724208562512187370e+01,1.175674157303370909e-01
5.809234200748877583e+02,1.721397288253739788e+01,1.199176029962546741e-01
5.818705996055393825e+02,1.718595166481891567e+01,1.278426966292134925e-01
5.828177791361908930e+02,1.715802152573528971e+01,1.318970037453183475e-01
5.837649586668424035e+02,1.713018202195149442e+01,1.283389513108614544e-01
5.847121381974939140e+02,1.710243271300513612e+01,1.234438202247190863e-01
5.856593177281455382e+02,1.707477316128325029e+01,1.176273408239700419e-01
5.866064972587971624e+02,1.704720293199929060e+01,1.237565543071161150e-01
5.875536767894486729e+02,1.701972159317032762e+01,1.256123595505617974e-01
5.885008563201001834e+02,1.699232871559451397e+01,1.136179775280898724e-01
5.894480358507516939e+02,1.696502387282871638e+01,1.199662921348314676e-01
