# wavenlength / nm,    wavenumber / 10^3 cm-1, norm. transient absorption
3.507587941265592235e+02,2.850962019327687713e+01,1.775026529314690293e+00
3.517059736572107909e+02,2.843284092111119676e+01,1.753505482701347207e+00
3.526531531878623582e+02,2.835647408680019765e+01,1.769874662612791916e+00
3.536003327185139256e+02,2.828051637598591128e+01,1.776216578022650872e+00
3.545475122491654929e+02,2.820496450972781233e+01,1.818215717184285651e+00
3.554946917798170603e+02,2.812981524403100053e+01,1.870720275620952666e+00
3.564418713104686276e+02,2.805506536938187878e+01,1.917210937255771075e+00
3.573890508411201381e+02,2.798071171029123505e+01,1.957042378744977995e+00
3.583362303717717054e+02,2.790675112484456122e+01,1.975409694696388385e+00
3.592834099024232728e+02,2.783318050425949508e+01,2.018184560989215282e+00
3.602305894330748401e+02,2.775999677245022568e+01,2.002307295294199818e+00
3.611777689637264075e+02,2.768719688559877667e+01,2.008373033425768117e+00
3.621249484943779180e+02,2.761477783173299372e+01,1.984542906266611784e+00
3.630721280250294853e+02,2.754273663031115404e+01,1.956403100470070822e+00
3.640193075556810527e+02,2.747107033181304914e+01,1.917729838005100662e+00
3.649664870863326200e+02,2.739977601733746582e+01,1.922941737860266009e+00
3.659136666169841874e+02,2.732885079820585617e+01,1.889028194691080964e+00
3.668608461476356979e+02,2.725829181557222824e+01,1.887785270165939666e+00
3.678080256782873221e+02,2.718809624003896985e+01,1.874305903873315415e+00
3.687552052089388326e+02,2.711826127127871189e+01,1.870690601592120306e+00
3.697023847395903999e+02,2.704878413766187251e+01,1.881360606419379744e+00
3.706495642702419673e+02,2.697966209589002418e+01,1.878124124038919041e+00
3.715967438008935346e+02,2.691089243063478520e+01,1.876474789935630438e+00
3.725439233315451020e+02,2.684247245418229610e+01,1.853653541195660059e+00
3.734911028621966125e+02,2.677439950608302155e+01,1.821996031232477220e+00
3.744382823928481798e+02,2.670667095280693815e+01,1.785394892737545591e+00
3.753854619234997472e+02,2.663928418740391280e+01,1.739578079594329640e+00
