\hline 0	vacuum	0.00	j	1.00	j	0.00	j	1.0000		j		$0.00 \mathrm{E}+00$	j	0.0	j
\hline 10	tetramethylsilane	0.00	[1]	1.92	[1]			1.3582		{$[1] \mathrm{a}$}	12.0			74.8	{$[3$}
\hline 20	n-pentane	0.00	[1]	1.84	[1]	2.00	{$[\mathrm{~m}]$}	1.3547	0.552	{$[1]$}	10.2			63.0	{$[3$}
\hline 30	2-methylbutane	0.00	$\mathrm{j}$	1.83	[1]	0.70	[c]	1.3509	0.570	{$[1]$}	10.2			64.4	{$[3$}
\hline 40	n-hexane	0.09	[1]	1.88	[1]	1.90	{$[\mathrm{~m}]$}	1.3723	0.520	{$[1]$}	11.9			74.1	{$[3$}
\hline 50	c-hexane	0.00	j	2.02	[1]	1.82	{$[\mathrm{~m}]$}	1.4235	0.538	[1]	10.5			68.2	{$[3$}
\hline 60	n-heptane	0.00	[1]	1.92	{$[1]$}	1.68	[m]	1.3851	0.506	{$[1]$}	13.8			85.4	{$[3$}
\hline 70	n-octane	0.00	{$[1]$}	1.95	[1]	1.54	{$[\mathrm{~m}]$}	1.3951	0.476	[1]	15.6			96.6	{$[3$}
\hline 80	"2,2,4-trimethylpentane"	0.00	j	1.96	[1]	1.67	{$[\mathrm{~m}]$}	1.3890	0.494	[1]	15.4			98.3	{$[3$}
\hline 90	n-decane	0.00	[1]	1.99	[1]	1.50	[m]	1.4097	0.444	[1]	19.2			119.5	{$[3$}
\hline 100	n-dodecane	0.00	[1]	2.00	[1]	1.38	[m]	1.4195	0.430	[1]	22.9			142.0	{$[3$}
\hline 110	n-hexadecane	0.00	j	2.05	i	0.65	[c]	1.4325		[2]	30.3			187.6	{$[3$}
\hline 120	benzene	0.00	[1]	2.27	[1]	2.03	{$[\mathrm{~m}]$}	1.4979	0.640	[1]	10.4			54.8	{$[3$}
\hline 130	toluene	0.31	[1]	2.38	[1]	2.35	{$[\mathrm{~m}]$}	1.4941	0.560	[1]	12.3			66.1	[3
\hline 140	o-xylene	0.45	[1]	2.57	[1]	2.38	[m]	1.5030	0.500	[1]	14.2			77.8	[3
\hline 150	m-xylene	0.30	[1]	2.37	[1]	1.89	[m]	1.4946	0.516	[1]	14.3			76.6	{$[3$}
\hline 160	p-xylene	0.00	[1]	2.27	[1]	1.62	[m]	1.4933	0.514	[1]	14.2			76.8	[3
\hline 170	ethylbenzene	0.37	[1]	2.40	[1]			1.4932	0.536	[1]	12.7			77.2	{$[3$}
\hline 180	cumene	0.39	[1]	2.38	[1]			1.4889	0.510	[1]	16.0			89.3	[3
\hline 190	mesitylene	0.00	_1]	2.28	$\lceil 1\rceil$			1.4968	0.506	$\lceil 1]$	16.2			92.3	[3
\hline 200	styrene	0.13	[1]	2.43	[1]			1.5440	0.519	[1]	14.5			68.0	[3
\hline 210	tetralin	0.60	[1]	2.77	[1]	2.40	[m]	1.5392	0.432	{$[1]$}	17.0			93.0	{$[3$}
\hline 220	cis-decalin	0.00	j	2.20	[1]	1.15	{$[\mathrm{~m}]$}	1.4788	0.440	[1]	17.4			106.7	{$[3$}
\hline 230	water	1.85	[2]	78.36	[1]	4.53	[1]	1.3325	0.644	[1]	1.5	$5.89 \mathrm{E}-06$	[1]	12.9	{$[3$}
\hline 240	methanol	2.87	[1]	32.66	[1]	6.08	{$[\mathrm{~m}]$}	1.3265	0.383	[1]	3.3	$1.50 \mathrm{E}-07$	[1]	21.4	[3.
\hline 250	ethanol	1.66	[1]	24.55	[1]	6.22	[m]	1.3594	0.400	[1]	5.1	$1.35 \mathrm{E}-07$	[1]	33.5	[3.
\hline 260	n-propanol	3.09	[1]	20.45	[1]	6.50	{$[\mathrm{~m}]$}	1.3837	0.372	[1]	7.0	$9.17 \mathrm{E}-07$	[1]	45.2	[3]
\hline 270	i-propanol	1.66	[1]	19.92	[1]	7.14	[m]	1.3752	0.410	[1]	7.0	$5.80 \mathrm{E}-06$	[1]	45.7	[3.
\hline 280	n-butanol	1.75	$\lceil 1\rceil$	17.51	$\lceil 1\rceil$	7.71	[m]	1.3974	0.390	$\lceil 1\rceil$	8.8	$9.12 \mathrm{E}-07$		56.1	[3]
\hline 290	i-butanol	1.79	[1]	17.93	[1]	8.60	[m]	1.3939	0.390	[1]	8.8	$1.30 \mathrm{E}-06$	[1]	57.2	[3]
\hline 300	2-butanol	1.66	[2]	16.56	{$[1]$}	9.90	[c]	1.3953	0.364	[1]	8.8			57.3	[3]
\hline 310	t-butanol	1.66	[1]	12.47	[1]	14.60	[c]	1.3852	0.740	[1]	8.8	$2.66 \mathrm{E}-06$	[1]	57.4	[3.
\hline 320	n-pentanol	1.70	[1]	13.90	[1]	5.30	{$[\mathrm{~m}]$}	1.4080	0.420	[1]	10.6			67.4	{$[3$. }
\hline 330	i-pentanol	1.82	[1]	15.19	[1]	7.98	[c]	1.4052	0.370	[1]	10.6	$1.40 \mathrm{E}-07$	[1]	69.0	{$[3$}
\hline 340	t-pentanol	1.70	[1]	5.78	[1]	10.09	[c]	1.4020	0.560	[1]	10.6			70.9	{$[3$. }
\hline 350	n-hexanol	1.55	[1]	13.30	[1]	8.06	{$[\mathrm{~m}]$}	1.4157	0.375	[1]	12.5			79.2	[3.
\hline 360	c-hexanol	1.86	[1]	15.00	[1]	10.06	[m]	1.4648	0.374	[1]	11.3			73.4	{$[3$}
\hline 370	n-octanol	1.76	[1]	10.34	[1]	9.94	[m]	1.4276	0.400	[1]	16.1	$1.39 \mathrm{E}-05$	[1]	102.2	{$[3$}
\hline 380	n-decanol	1.62	[2]	8.10	[3]			1.4350		[2]	19.8				
\hline 390	n-dodecanol	1.70	[2]	5.70	[c]	8.63	[c]	1.4413		[2]	23.5			148.4	{$[3$. }
\hline 400	benzyl alcohol	1.66	[1]	12.70	[1]	4.89	{$[\mathrm{n}]$}	1.5384	0.396	[1]	12.9			71.8	{$[3$.}
\hline 410	2-phenylethanol	1.66	[2]	12.31	{$[c] a$}	11.60	[c]	2.3310		[2]	14.5			68.1	{$[3$}
\hline 420	allyl alcohol	1.77	[1]	21.60	[1]			1.4113	0.450	[1]	6.8			36.7	{$[3]$}
\hline 430	2-chloroethanol	1.88	$\lceil 1\rceil$	25.80	$\lceil 1\rceil$			1.4421	0.390	_2_	10.6			72.2	$\left\lceil 3^{\circ}\right.$
\hline 440	2-cyanoethanol													54.6	{$[3$}
\hline 450	"2,2,2-trifluoroethanol"	2.52	{$[\mathrm{a}] \mathrm{c}$}	26.67	{$[\mathrm{f}]$}	7.24	{$[\mathrm{f}]$}	1.2907		{$[1] \mathrm{a}$}	5.2	$3.90 \mathrm{E}-05$			
\hline 460	hexafluoro-i-propanol	2.05	[b]	16.62	[b]	20.20	[b]	1.2770		[b]	7.2				
\hline 470	2-methoxyethanol	2.04	$\lceil 1\rceil$	16.93	$\lceil 1\rceil$	11.58	$\lceil\mathrm{n}\rceil$	1.4002	0.380	$\lceil 1\rceil$	7.6	$1.09 \mathrm{E}-04$	$\lceil 1\rceil \mathrm{a}$	60.3	$\lceil 3$
\hline 480	2-ethoxyethanol	2.08	[1]	29.60	[1]			1.4057	0.400	[1]	9.5	$9.30 \mathrm{E}-06$	[1]		
\hline 490	"1,2-ethanediol"	2.31	[2]	37.70	[1]	5.16	{$[\mathrm{~m}]$}	1.4306	0.240	[1]	5.7	$1.16 \mathrm{E}-04$	[1]	38.9	{$[3$}
\hline 500	"1,2-propanediol"	2.25	[1]	32.00	{$[1] \mathrm{a}$}	6.22	[m]	1.4314	0.300	[1]	7.6				
\hline 510	"1,3-propanediol"	2.55	[1]	35.00	{$[1] \mathrm{a}$}	5.30	[m]	1.4386	0.200	[1]	7.6			50.2	{$[3$. }
\hline 520	"1,2-butanediol"	2.18	[a]					1.4360		[2]	9.3			67.0	
\hline 530	"2,3-butanediol (meso)"	2.1	[2]	21.53	{$[\mathrm{~g}]$}	3.65	{$[\mathrm{~g}]$}	1.4372	0.340	[2]	9.4			62.0	
\hline 540	"1,4-butanediol"	2.5	[1]	30.20	{$[1] \mathrm{b}$}	5.35	{$[t]$}	1.4443	0.700	[1]	9.3			61.5	{$[3]:$}
\hline 550	"1,5-pentanediol"	2.51	[1]					1.4484	0.608	[1]	11.2			73.5	{$[3$.}
\hline 560	diethyleneglycol	2.31	[1]	31.69	{$[1] \mathrm{a}$}	13.67	[n]	1.4461	0.280	[1]	10.1	$5.86 \mathrm{E}-05$	[1]		
\hline 570	triethyleneglycol	5.58	{$[1] \mathrm{a}$}	23.69	{$[1] \mathrm{a}$}			1.4541	0.340	{$[1]$}	14.4	$8.40 \mathrm{E}-06$	{$[1]$}		
\hline 580	glycerol	4.21	[2]	42.50	[1]	4.79	{$[\mathrm{~m}]$}	1.4730	0.800	[1]	8.1	$6.00 \mathrm{E}-06$	[1]	57.0	{$[3$}
\hline 590	phenol	1.59	{$[1] \mathrm{b}$}	11.60	{$[1] \mathrm{d}$}	7.37	{$[\mathrm{~m}]$}	1.5427	0.450	{$[1]$}	11.0	$2.68 \mathrm{E}-06$	{$[1]$}	60.2	{$[3$. }
\hline 600	2-methylphenol	1.45	[1]	11.50	[1]	22.00	{$[\mathrm{~m}]$}	1.5442	0.500	[1]	12.8	$1.27 \mathrm{E}-07$	[1]	73.0	{$[3$. }
