\hline 10	tetramethylsilane	12.3	[2]	0.236	[ee]	0.75	[ee]	3.89	[ee]	0.1148	[2]
\hline 20	n-pentane	15.5		0.225	[1]	0.84	_2]	5.62	[4]	0.1125	$\lceil 2\rceil$
\hline 30	2-methylbutane	14.5	{$[1]$}	0.215	[1]	0.93	[2]	4.85	{$[4]$}	0.1096	[2]
\hline 40	n-hexane	17.9	{$[1]$}	0.294	{$[1]$}	0.86	[2]	4.21	{$[4]$}	0.1196	[2]
\hline 50	c-hexane	24.6	{$[1]$}	0.898	[1]	1.75	[2]	1.41	{$[4]$}	0.1234	[2]
\hline 60	n-heptane	19.7	[1]	0.397	[1]	1.05	[2]	3.11	[4]	0.1247	[2]
\hline 70	n-octane	21.2	{$[1]$}	0.515	[1]	1.23	[2]	2.75	{$[4]$}	0.1277	$9[2]$
\hline 80	"2,2,4-trimethylpentane"	18.3	[1]	0.475	[1]	1.20	[2]	2.42	{$[\mathrm{~h}] \mathrm{b}$}	0.0982	[2]
\hline 90	n-decane	23.4	{$[1]$}	0.861	[1]	1.48	[2]	1.31	{$[4]$}	0.1318	[2]
\hline 100	n-dodecane	24.9	[1]	1.378	[1]	1.75	[2]	0.93	[i]	0.1354	[2]
\hline 110	n-hexadecane	27.1	$\lceil 2\rceil$	2.831	$\lceil 2\rceil$	2.08	$\lceil 2\rceil$	0.38	$\lceil\mathrm{y}\rceil$	0.1421	$\lceil 2\rceil$
\hline 120	benzene	28.2	{$[1]$}	0.603	[1]	1.27	[2]	2.16	{$[4]$}	0.1433	[2]
\hline 130	toluene	27.9	[1]	0.553	[1]	1.15	[2]	2.59	[]]b	0.1323	[2]
\hline 140	o-xylene	29.5	[1]	0.756	[1]	1.36	[2]	1.61	{$[\mathrm{~h}] \mathrm{b}$}	0.1313	[2]
\hline 150	m-xylene	28.1	{$[1]$}	0.581	[1]	1.19	[2]	2.56	[j]d	0.1302	[2]
\hline 160	p-xylene	27.8	{$[1]$}	0.605	[1]	1.21	[2]	2.75	[j]d	0.1297	[2]
\hline 170	ethylbenzene	28.5	[1]	0.637	[1]	1.24	[2]			0.1289	[2]
\hline 180	cumene	27.7	[1]	0.739	[1]	1.35	[2]	1.68	{$[\mathrm{~h}] \mathrm{b}$}	0.1232	[2]
\hline 190	mesitylene	28.3	$\lceil 1\rceil$	1.039	$\lceil 1\rceil$	1.54	$\lceil 2\rceil$			0.1351	$\lceil 2\rceil$
\hline 200	styrene	31.6	[1]	0.696	[1]	1.42	[2]			0.1365	[2]
\hline 210	tetralin	34.5	[1]	2.14	[1]	1.96	[2]			0.1296	[2]
\hline 220	cis-decalin	31.6	[1]	3.034	[1]	2.23	[2]	0.46	{$[\mathrm{~h}] \mathrm{b}$}	0.1130	{$[2]$}
\hline 230	water	71.8	[1]	0.8903	[1]	2.21	[2]	2.13	[4]	0.6063	[2]
\hline 240	methanol	22.3	{$[1]$}	0.551	[1]	1.32	[2]	2.32	{$[4]$}	0.1999	[2]
\hline 250	ethanol	21.9	{$[1]$}	1.083	[1]	1.91	{$[2]$}	1.01	{$[4]$}	0.1681	{$[2]$}
\hline 290	i-butanol	22.5	[1]	3.333	[1]	3.24	[2]			0.1318	[2]
\hline 300	2-butanol	23.0	$\lceil 1\rceil$	2.998	$\lceil 1\rceil$	3.96	$\lceil 2\rceil$			0.1344	
\hline 310	t-butanol	20.1	[1]	4.438	[1]	2.80	[2]	0.51	{$[4] \mathrm{c}$}	0.1158	[2]
\hline 320	n-pentanol	25.2	[1]	3.513	{$[1]$}	2.87	[2]	0.26	[aa]	0.1528	[2]
\hline 330	i-pentanol	23.9	{$[1]$}	3.738	{$[1]$}	3.11	{$[2]$}			0.1407	{$[2]$}
\hline 340	t-pentanol	22.3	{$[1]$}	3.548	[1]	4.51	{$[2]$}			0.1213	[2]
\hline 350	n-hexanol	25.7	{$[1]$}	4.592	[1]	3.14	{$[2]$}			0.1537	[2]
\hline 360	c-hexanol	33.8	[1]	41.06	{$[1] \mathrm{b}$}	69.90	{$[2] \mathrm{b}$}			0.1341	[2]
\hline 370	n-octanol	26.9	{$[1]$}	7.363	{$[1]$}	3.59	[2]	0.14	[4]	0.1598	[2]
\hline 380	n-decanol	28.4	[2]	11.32	[2]	3.93	[2]			0.1615	[2]
\hline 390	n-dodecanol	29.4	{$[2]$}	15.72	[2]	4.05	{$[2]$}			0.1496	[2]
\hline 400	benzyl alcohol	39.5	[1]	6.54	[1]	3.30	[2]			0.1603	{$[2]$}
\hline 410	2-phenylethanol	40.6	$\lceil 2\rceil$	1.43	{$[\mathrm{~d}] \mathrm{a}$}	4.59	$\lceil 2\rceil$			0.1627	$\lceil 2\rceil$
\hline 420	allyl alcohol	25.3	[1]	1.333	[1]	2.08	{$[2]$}			0.1546	{$[2]$}
\hline 430	2-chloroethanol	38.9	[1]	3.046	[1]	2.65	[2]			0.1332	{$[2]$}
\hline 440	2-cyanoethanol										
\hline 450	"2,2,2-trifluoroethanol"			1.755	$\lceil 1\rceil$	2.57	$\lceil 1\rceil$				
\hline 460	hexafluoro-i-propanol	16.1	{$[\mathrm{a}]$}	1.579	[a]						
\hline 470	2-methoxyethanol	30.8	[1]	1.61	[1]	2.53	{$[2]$}			0.1880	{$[2]$}
\hline 480	2-ethoxyethanol	28.2	[1]	1.85	[1]	2.70	{$[2]$}			0.1757	[2]
\hline 500	"1,2-propanediol"	36.5		42.2	$\lceil 1\rceil$	6.26	$\lceil 2\rceil$			0.2004	$\lceil 2\rceil$
\hline 510	"1,3-propanediol"	45.2	[1]	46.6	{$[1] \mathrm{a}$}	3.60	[2]			0.2226	{$[2]$}
\hline 520	2-butanediol	35.3	[2]	50	[2]	6.22	[2]			0.1730	[2]
\hline 530	"2,3-butanediol (meso)"	30.6	[1]	65.8	{$[1] \mathrm{c}$}	4.93	{$[2]$}				
\hline 540	"1,4-butanediol"	44.2	[1]	71.5	[1]	4.96	[2]			0.2059	[2]
\hline 550	"1,5-pentanediol"	43.4	[1]	114.66	{$[1] \mathrm{a}$}	5.10	[2]			0.2000	[2]
\hline 560	diethyleneglycol	48.5	[1]	30	[1]	4.69	{$[2]$}			0.2037	[2]
\hline 570	triethyleneglycol	45.2	[1]	49	{$[1] \mathrm{a}$}	4.56	[2]			0.1931	[2]
\hline 580	glycerol	63.3	{$[1]$}	945	[1]	8.53	[2]	0.00	{$[\mathrm{k}] \mathrm{b}$}	0.2918	[2]
\hline 590	phenol	38.8	[1]	3.5	{$[1] \mathrm{e}$}	2.70	[2]	0.78	[]] 7	0.1565	[2]
\hline 600	2-methylphenol	35.0	[1]	7.608	[1]	2.68	{$[2] \mathrm{b}$}	0.58	{$[\mathrm{u}]$}	0.1517	[2] $\mathrm{c}$
\hline 610	3-methylphenol	37.0	{$[1]$}	9.807	{$[1] \mathrm{b}$}	5.48	[2]	0.55	{$[\mathrm{u}]$}	0.1493	[2]
\hline 620	4-methylphenol	34.6	[1]	9.402	{$[1] \mathrm{c}$}	4.29	{$[2] \mathrm{b}$}	0.61	{$[\mathrm{u}]$}	0.1426	{$[2] \mathrm{c}$}
\hline 630	2-methoxyphenol							0.73	{$[\mathrm{u}]$}		
\hline 640	"2,4-dimethylphenol"	31.2	[1]	68.5	[2]	3.42	[2]	0.58	{$[\mathrm{u}]$}	0.1612	[2]
\hline 650	3-chlorophenol			11.55	[3]	3.08	[2]				
\hline 660	diethyl ether	16.5	[1]	0.242	{$[1] \mathrm{a}$}	1.01	[2]	6.1	[j]a	0.1282	[2]
\hline 670	di-n-propyl ether	19.9	{$[1]$}	0.339	{$[1]$}	1.16	{$[2]$}			0.1266	[2]
\hline 680	di-i-propyl ether	17.2	[1]	0.379	[1]	1.11	[2]			0.1093	[2]
\hline 690	di-n-butyl ether	22.5	[1]	0.645	[1]	1.35	[2]			0.1279	[2]
\hline 700	di(2-chloroethyl) ether	37.0	[1]	2.14	{$[1]$}	2.52	{$[1]$}				
\hline 710	"1,2-dimethoxyethane"	24.6	[1]	0.455	[1]	1.06	[2]			0.1405	[2]
\hline 720	bis(methoxyethyl) ether	30.4	[2]	0.989	[1]	1.57	{$[2]$}				
\hline 730	furan	23.4	[1]	0.361	[1]	1.01	[2]			0.1262	[2]
\hline 740	tetrahydrofuran	26.4	[1]	0.462	{$[\mathrm{v}]$}	1.04	[2]			0.1200	[2]
\hline 750	2-methyl tetrahydrofuran			0.473	{$[\mathrm{v}]$}	1.01	[v]				
\hline 760	tetrahydropyran			0.764	$\lceil 1\rceil$	1.62	$\lceil 1\rceil$	1.84	$\lceil 1\rceil$		
\hline 770	"1,4-dioxane"	32.8	[1]	1.194	[1]	1.77	[2]	1.01	{$[4]$}	0.1588	[2]
\hline 780	"1,3-dioxolane"			0.6	{$[1] \mathrm{a}$}						
\hline 790	"1,8-cineole"	31.1	[1]	2.303	[dd]	3.42	[dd]				
\hline 800	anisole	34.6	[1]	0.984	[1]	1.51	[2]	1.35	{$[\mathrm{~h}] \mathrm{b}$}	0.1560	[2]
\hline 810	phenetole	32.9	[1]	1.138	[1]	1.71	[2]			0.1397	[2]
\hline 820	diphenyl ether	39.4	[1]	2.6	[1]	2.26	[2]	0.35	{$[\mathrm{~h}] \mathrm{b}$}		
\hline 830	dibenzyl ether	38.2	[1]	4.654	[1]	2.69	[2]	0.1249	[2]		
\hline 840	"1,2-dimethoxybenzene"			3.281	[1]						
\hline 850	trimethyl orthoformate										
\hline 860	trimethyl orthoacetate										
\hline 870	propionaldehyde			0.318	[1]	1.00	[2]	0.1601	[2]		
\hline 880	butyraldehyde	29.9	[1]	0.43	{$[1]$}	1.06	[2]	0.1451	[2]		
\hline 890	benzaldehyde	38.3	[2]	1.321	[1]	1.52	[2]	0.1525	[2]		
\hline 900	p-methoxybenzaldehyde			4.22	[d]						
\hline 910	cinnamaldehyde			5.4	[d]						
\hline 920	acetone	22.7	_1]	0.303		0.95	_2]	4.77	$\lceil 4]$	0.1605	_2]
\hline 930	2-butanone	23.7	[1]	0.378	[1]	1.09	[2]			0.1450	[2]
\hline 940	2-pentanone	24.5	[1]	0.463	[1]	1.13	[2]			0.1420	[2]
\hline 950	methyl i-propyl ketone	24.8	[2]	0.429	[2]	1.18	[2]			0.1424	[2]
\hline 960	3-pentanone	24.8	[1]	0.442	[1]	1.08	[2]			0.1439	[2]
\hline 970	c-pentanone	33.2	[1]	1.307	[1]	1.48	[2]			0.1484	[2]
\hline 980	methyl-i-butyl ketone	23.2	[1]	0.546	[1]	1.34	[2]			0.1439	[2]
\hline 990	methyl t-butyl ketone			0.713	{$[\mathrm{~d}] \mathrm{a}$}	1.31	[2]			0.1384	[2]
\hline 1000	c-hexanone	35.0	[1]	2.003	[1]	2.01	[2]	0.89	[1]	0.1403	[2]
\hline 1010	2-heptanone	26.1	[1]	0.76	[1]	1.36	[2]				
\hline 1020	3-heptanone	25.5	[1]	0.743	[2]	1.47	[2]			0.1360	[2]
\hline 1030	di-t-butyl ketone										
\hline 1040	acetophenone	38.8	[1]	1.66	[1]	1.82	[2]			0.1471	[2]
\hline 1050	propiophenone										
\hline 1060	phenylacetone										
\hline 1070	p-methylacetophenone										
\hline 1080	p-chloroacetophenone										
\hline 1090	benzophenone	45.1	[3]	13.61	[d]	2.16	[2]f	0.46	[j] 7		
\hline 1100	acetylacetone	30.3	[1]	0.767	[2]	1.27	[2]			0.1533	[2]
\hline 1110	biacetyl										
\hline 1120	formic acid	37.0	[1]	1.966	[1]	2.02	{$[2]$}			0.2698	[2]
\hline 1130	acetic acid	26.9	[1]	1.131	[1]	1.48	[2]	0.99	[j]a	0.1593	[2]
\hline 1140	propanoic acid	26.2	[1]	1.024	[1]	1.43	[2]			0.1465	[2]
\hline 1150	n-butanoic acid	26.2	[1]	1.529	[1]	1.65	[2]			0.1466	[2]
\hline 1160	n-pentanoic acid	26.1	[1]	1.975	[1]	1.99	[2]			0.1420	[2]
\hline 1170	n-hexanoic acid	27.5	[1]	2.826	[1]	2.19	[2]			0.1420	[2]
\hline 1180	n-heptanoic acid	27.8	[2]	3.84	[2]	2.36	[2]			0.1426	[2]
\hline 1190	dichloroacetic acid	35.4	[3]	5.91	[2]	1.95	[2]			0.1869	[2]
\hline 1200	trifluoroacetic acid	13.5	[1]	0.855	[1]	1.54	[2]			0.1621	[2]
\hline 1210	acetic anhydride	31.9	[1]	0.841	[1]	1.37	[2]	1.61	[1]	0.1640	[2]
\hline 1220	benzoyl chloride	38.7	[2]	1.137	[2]	1.42	[2]			0.1041	[2]
\hline 1230	benzoyl bromide										
\hline 1240	methyl formate	23.9	{$[1]$}	0.328	[1]	0.94	[2]			0.1851	[2]
\hline 1250	ethyl formate	24.0	[1]	0.377	[1]	1.05	[2]			0.1603	[2]
\hline 1260	methyl acetate	24.1	[1]	0.364	[1]	1.02	[2]	3.28	[4]	0.1534	[2]
\hline 1270	ethyl acetate	23.1	[1]	0.426	[1]	1.10	[2]	2.77	{$[4]$}	0.1439	{$[2]$}
\hline 1280	propyl acetate	23.7	[1]	0.551	[1]	1.16	[2]			0.1409	[2]
\hline 1290	butyl acetate	24.5	[1]	0.689	[1]	1.34	{$[2]$}			0.1367	[2]
\hline 1300	i-pentyl acetate	24.2	[1]	0.789	[1]	1.42	[2]			0.1304	{$[2]$}
\hline 1310	methyl propanoate	24.4	[2]	0.431	[2]	1.09	[2]			0.1453	{$[2]$}
\hline 1320	ethyl propanoate	23.7	[1]	0.502	[1]	1.18	{$[2]$}			0.1387	{$[2]$}
\hline 1330	dimethyl carbonate	28.5	$\lceil 2\rceil$	0.585		1.44	$\lceil 2\rceil$			0.1617	
\hline 1340	diethyl carbonate	26.0	[1]	0.748	[1]	1.34	[2]				
\hline 1350	ethylene carbonate	41.4	[2]	1.93	{$[1] \mathrm{d}$}	1.41	[2]				
